"","taxon","slope","inter","pval","trend","samples","sum.taxon"
"as.numeric(year)200","Rhabdomastix",0.300108979571616,-601.280406515563,0.0987805004001945,"none",16,16
"as.numeric(year)199","Ramellogammarus",0.379886666096005,-761.927778443257,0.0553901901504465,"none",15,15
"as.numeric(year)198","Ptychoptera",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)197","Ptilodactylidae",0.30315018433464,-613.848192306894,0.351411042057699,"none",1,1
"as.numeric(year)196","Pteronarcys",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)195","Pteronarcyidae",0.15818094159256,-318.885688385185,0.116171111505191,"none",7,7
"as.numeric(year)194","Pteronarcella",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)193","Psychomyia",0.513922789508929,-1037.59114336091,0.0961419304582104,"none",3,3
"as.numeric(year)192","Psychoglypha",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)191","Psychodidae",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)190","Psephenidae",0.0684113918151981,-139.360803994138,0.558530391016449,"none",3,3
"as.numeric(year)189","Protoptila",0.345535907484935,-695.395411927132,0.0207887559109555,"positive",9,9
"as.numeric(year)188","Protanyderus",0.200506028556581,-405.991737741223,0.265966452392958,"none",2,2
"as.numeric(year)187","Prostoma",0.345535907484901,-695.395411927065,0.0207887559109617,"positive",9,9
"as.numeric(year)186","Polychaeta",-0.244237684078306,487.728962855848,0.348307773011805,"none",1,1
"as.numeric(year)185","Polycentropus.s.l.",0.293995732084318,-589.908322775038,0.0477743115471147,"positive",14,14
"as.numeric(year)184","Plumiperla",0.21849087840057,-443.065581035899,0.404748568840703,"none",1,1
"as.numeric(year)183","Pleuroceridae.s.l.",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)182","Plecoptera",0.0773289482231419,-157.791387379643,0.583341195373559,"none",2,2
"as.numeric(year)181","Planorbidae",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)180","Pilaria",-0.0744915382521896,149.307532609592,0.393906223882661,"none",7,7
"as.numeric(year)179","Physidae",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)178","Philopotamidae",0.353808022059917,-710.879162759117,0.02505114266102,"positive",12,12
"as.numeric(year)177","Perlinodes.aurea",-0.126446411058616,252.061343968897,0.388852106059256,"none",2,2
"as.numeric(year)176","Perlidae",-0.159242611863838,323.602814706228,0.483472453443153,"none",18,18
"as.numeric(year)175","Peltodytes",0.097809638717521,-199.039309496504,0.501207474572765,"none",2,2
"as.numeric(year)174","Pedicia",0.0556441526788349,-110.897409785193,0.553501624812307,"none",14,14
"as.numeric(year)173","Parthina",0.0539885107557797,-108.945132456381,0.521723824851906,"none",8,8
"as.numeric(year)172","Parapsyche",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)171","Paraperla",39.5246810891469,-79148.3027624572,0.998128004552823,"none",18,18
"as.numeric(year)170","Paraleptophlebia_.Neoleptophlebia",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)169","Paraleptophlebia.Bicornuta.Group",0.0256106304984011,-50.1980924067238,0.797513740397744,"none",15,15
"as.numeric(year)168","Palaemonidae",-0.0295796323980066,56.6082382061127,0.870992594011262,"none",1,1
"as.numeric(year)167","Pacifastacus",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)166","Oxyethira",0.0302684044262977,-61.9333788812858,0.745492025995678,"none",5,5
"as.numeric(year)165","Ostracoda",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)164","Ormosia",0.123088138481202,-247.041455217954,0.186611324098722,"none",12,12
"as.numeric(year)163","Oreogeton",0.773445174318324,-1548.45815745922,0.292112450246661,"none",18,18
"as.numeric(year)162","Optioservus",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)161","Onocosmoecus",0.0295796323980064,-56.6082382061124,0.870992594011261,"none",18,18
"as.numeric(year)160","Oligophlebodes",0.326577640868619,-652.886954793238,0.304655339649097,"none",18,18
"as.numeric(year)159","Oligochaeta",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)158","Ochthebius",0.0579491184758447,-118.769276976975,0.673647165560017,"none",2,2
"as.numeric(year)157","Neothremma",-0.312324230633287,630.439445536401,0.0727493984116719,"none",15,15
"as.numeric(year)156","Neophylax",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)155","Nemouridae",0.510156047329863,-1024.00533837981,0.0424047595016647,"positive",14,14
"as.numeric(year)154","Nematomorpha",-0.0295796323980066,56.6082382061127,0.870992594011262,"none",1,1
"as.numeric(year)153","Nemata",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)152","Neaviperla_.Suwallia",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)151","Narpus",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)150","Mystacides",0.097809638717521,-199.039309496504,0.501207474572765,"none",2,2
"as.numeric(year)149","Muscidae",-0.146994896805836,294.22634472961,0.199508964069315,"none",4,4
"as.numeric(year)148","Molophilus",0.188414681532989,-378.107001888808,0.085021392041583,"none",13,13
"as.numeric(year)147","Micrasema",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)146","Meringodixa",0.300108979571638,-601.280406515606,0.0987805004001613,"none",16,16
"as.numeric(year)145","Megarcys",0.0124901407355667,-25.4476970371171,0.87955847693625,"none",8,8
"as.numeric(year)144","Matriella.teresa",0.403019578030193,-812.371221881062,0.0306143049183531,"positive",6,6
"as.numeric(year)143","Maruina",0.0295796323980064,-56.6082382061124,0.870992594011261,"none",18,18
"as.numeric(year)142","Margaritifera.falcata",-0.740962217058784,1491.18605879552,0.0396327178224752,"negative",10,10
"as.numeric(year)141","Malenka",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)140","Lymnaeidae",-0.519706102410226,1049.97867207252,0.166634936150486,"none",17,17
"as.numeric(year)139","Lipsothrix",0.30315018433464,-613.848192306894,0.351411042057699,"none",1,1
"as.numeric(year)138","Limonia",0.041219648935181,-82.1465156013317,0.640358285065173,"none",13,13
"as.numeric(year)137","Limnophila",0.0672294845851405,-133.06202143876,0.620289790013223,"none",17,17
"as.numeric(year)136","Limnichidae",-39.5246810831553,79148.3027504584,0.998128004550241,"none",1,1
"as.numeric(year)135","Limnephiloidea",0.519706102410209,-1049.97867207249,0.16663493615053,"none",2,2
"as.numeric(year)134","Limnephilidae",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)133","Leuctridae",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)132","Leptoceridae",0.0753329185687342,-152.63401593343,0.438030379727629,"none",5,5
"as.numeric(year)131","Lepidostoma",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)130","Lepidoptera",0.164148970283544,-330.381924425483,0.0927800543704203,"none",9,9
"as.numeric(year)129","Lara",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)128","Labiobaetis",0.0412196489351789,-82.1465156013275,0.640358285065197,"none",13,13
"as.numeric(year)127","Kathroperla",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)126","Isopoda",0.71469929513852,-1443.60384420911,0.169726279021111,"none",2,2
"as.numeric(year)125","Isoperla",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)124","Ironodes",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)123","Hydrozoa",0.244237684078334,-487.728962855904,0.348307773011784,"none",18,18
"as.numeric(year)122","Hydroptila",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)121","Hydropsychidae",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)120","Hydropsyche",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)119","Hydrophilidae",-0.0164043093300591,34.6806510073571,0.883525955578186,"none",16,16
"as.numeric(year)118","Hydrochus",-0.126446411058616,252.061343968897,0.388852106059256,"none",2,2
"as.numeric(year)117","Hydrobiidae.s.l.",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)116","Hydraenidae",-0.0295796323980066,56.6082382061127,0.870992594011262,"none",1,1
"as.numeric(year)115","Hydraena",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)114","Hydatophylax",-0.0982712581430894,196.883342426878,0.291260091332303,"none",6,6
"as.numeric(year)113","Hyalella",0.149492205689152,-301.138270363813,0.120731236031952,"none",8,8
"as.numeric(year)112","Holorusia.hespera",0.30315018433464,-613.848192306894,0.351411042057699,"none",1,1
"as.numeric(year)111","Hirudinea",-0.242552043111867,486.184917103292,0.0859088504743799,"none",4,4
"as.numeric(year)110","Hexatoma",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)109","Heteroplectron",0.160103974901351,-321.47462216392,0.107845321227293,"none",12,12
"as.numeric(year)108","Heterlimnius.corpulentus",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)107","Hesperoperla.pacifica",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)106","Hesperoconopa",0.0658200022064186,-133.784255038731,0.526875367995346,"none",4,4
"as.numeric(year)105","Heptageniidae",-0.0946804006888968,191.583334425416,0.342161359050651,"none",14,14
"as.numeric(year)104","Heptagenia",-0.0295796323980066,56.6082382061127,0.870992594011262,"none",1,1
"as.numeric(year)103","Hemerodromiinae",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)102","Haliplus",0.0418448624188539,-85.8804139048417,0.713084950986214,"none",3,3
"as.numeric(year)101","Haliplidae",-0.244237684078306,487.728962855848,0.348307773011805,"none",1,1
"as.numeric(year)100","Gyrinidae",0.0729184578820187,-149.668706931993,0.705871545085216,"none",1,1
"as.numeric(year)99","Gumaga",-0.773445174318455,1548.45815745948,0.292112450246883,"none",1,1
"as.numeric(year)98","Gonomyia",-0.0138149590289942,25.6517734171672,0.91679798196413,"none",2,2
"as.numeric(year)97","Gomphidae",0.507531607256651,-1017.47468295635,0.08183566461883,"none",16,16
"as.numeric(year)96","Goeridae",0.11976650312355,-243.270131492026,0.428144904744308,"none",2,2
"as.numeric(year)95","Goeracea",0.0471877985005046,-94.8297962368172,0.568191685185963,"none",10,10
"as.numeric(year)94","Goera",-39.5246810831553,79148.3027504584,0.998128004550241,"none",1,1
"as.numeric(year)93","Gnorimosphaeroma",-0.244237684078306,487.728962855848,0.348307773011805,"none",1,1
"as.numeric(year)92","Glutops",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)91","Glossosomatidae",0.4783563396487,-959.580300141353,0.0553798112610175,"none",15,15
"as.numeric(year)90","Glossosoma",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)89","Glossiphoniidae",-0.0164043093300678,34.6806510073746,0.88352595557812,"none",16,16
"as.numeric(year)88","Gastropoda",0.00348780062342584,-9.9076329043476,0.984719202286965,"none",1,1
"as.numeric(year)87","Gammarus",-0.434805810385297,871.572384209943,0.0817606361017835,"none",3,3
"as.numeric(year)86","Forcipomyiinae",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)85","Farula",0.0831938909768538,-167.713639232487,0.337945559342009,"none",8,8
"as.numeric(year)84","Erpobdella",0.111579458304879,-223.365537584847,0.264646232736694,"none",14,14
"as.numeric(year)83","Erioptera",0.345087270370071,-696.494721495892,0.0669878818773351,"none",4,4
"as.numeric(year)82","Epiphragma",0.21849087840057,-443.065581035899,0.404748568840703,"none",1,1
"as.numeric(year)81","Ephydridae",0.128956344547298,-259.330155166564,0.157750111027989,"none",10,10
"as.numeric(year)80","Ephemerellidae",0.128105577634571,-255.887737418876,0.300958067183067,"none",16,16
"as.numeric(year)79","Ephemerella.tibialis",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)78","Ephemerella.excrucians.group",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)77","Ephemerella.aurivillii",-0.00403097549296549,7.08015629301305,0.965140884457411,"none",5,5
"as.numeric(year)76","Epeorus",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)75","Empididae.Genus.A",0.45117419257298,-912.604611600465,0.32593967355572,"none",1,1
"as.numeric(year)74","Empididae",0.773445174318324,-1548.45815745922,0.292112450246661,"none",18,18
"as.numeric(year)73","Ecclisomyia",-0.148881625910108,300.724721392409,0.17363312908168,"none",14,14
"as.numeric(year)72","Ecclisocosmoecus",-39.5246810831553,79148.3027504584,0.998128004550241,"none",1,1
"as.numeric(year)71","Dytiscidae",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)70","Drunella.pelosa",0.159242611863837,-323.602814706228,0.483472453443157,"none",1,1
"as.numeric(year)69","Drunella.grandis.group",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)68","Drunella.flavilinea_coloradensis",0.0313470458296112,-60.9145202848506,0.81323503365768,"none",17,17
"as.numeric(year)67","Drunella.doddsii",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)66","Doroneuria",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)65","Dolophilodes",0.189817276176726,-380.262538800944,0.128933717204293,"none",15,15
"as.numeric(year)64","Dolichopodidae",0.200707439032508,-402.815140756065,0.0741400004891881,"none",13,13
"as.numeric(year)63","Dixidae",0.0711406468214079,-143.687855473157,0.417977427750702,"none",7,7
"as.numeric(year)62","Dixella",-0.0745476219566484,150.092450684966,0.379517731745019,"none",10,10
"as.numeric(year)61","Dixa",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)60","Diphetor.hageni",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)59","Dicranota",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)58","Dicosmoecus",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)57","Decapoda",0.21849087840057,-443.065581035899,0.404748568840703,"none",1,1
"as.numeric(year)56","Dasyhelea",0.0371806178063854,-77.7134112470567,0.841221484828519,"none",1,1
"as.numeric(year)55","Cystobranchus.salmositicus",0.143137934470519,-286.80179079236,0.174433488363279,"none",14,14
"as.numeric(year)54","Culicidae",0.0549472848401507,-112.25473412546,0.633350007264912,"none",3,3
"as.numeric(year)53","Cryptochia",0.228578425288213,-459.146471497094,0.0479486507837318,"positive",12,12
"as.numeric(year)52","Crangonyx",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)51","Crangonyctidae",-0.773445174318455,1548.45815745948,0.292112450246883,"none",1,1
"as.numeric(year)50","Corixidae",0.267327067627375,-538.325227922777,0.0324614123242057,"positive",8,8
"as.numeric(year)49","Cordulegaster",0.217075339559042,-438.449450281597,0.116235037435801,"none",4,4
"as.numeric(year)48","Copepoda",0.0456889338628272,-90.5803965009606,0.649967227566053,"none",15,15
"as.numeric(year)47","Coenagrionidae",0.137176812734602,-277.152407601405,0.199819805268959,"none",5,5
"as.numeric(year)46","Clostoeca",-0.18544672996804,369.748937879386,0.413779099468963,"none",1,1
"as.numeric(year)45","Cleptelmis.addenda",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)44","Cladocera",0.0282384749845156,-56.4924085107308,0.732748247577369,"none",11,11
"as.numeric(year)43","Claassenia.sabulosa",0.911651592618166,-1832.8728708163,0.0619584008753914,"none",11,11
"as.numeric(year)42","Cinygmula",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)41","Cinygma",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)40","Chloroperlidae",39.5246810891469,-79148.3027624572,0.998128004552823,"none",18,18
"as.numeric(year)39","Chironomidae",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)38","Cheumatopsyche",0.188414681533013,-378.107001888855,0.0850213920415558,"none",13,13
"as.numeric(year)37","Cheilotrichia",0.112600771567442,-229.60378425573,0.585000011418566,"none",1,1
"as.numeric(year)36","Ceratopogoninae",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)35","Ceratopogonidae",0.173989424709022,-350.992230772286,0.10864731960904,"none",6,6
"as.numeric(year)34","Caudatella",0.125301795474396,-251.23292998108,0.196058183851719,"none",13,13
"as.numeric(year)33","Capniidae",0.105627169684361,-210.232920034556,0.457026562136126,"none",17,17
"as.numeric(year)32","Calopteryx",0.112600771567442,-229.60378425573,0.585000011418566,"none",1,1
"as.numeric(year)31","Calineuria.californica",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)30","Caecidotea",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)29","Brychius",0.174691343757156,-349.875074287457,0.148953247291247,"none",15,15
"as.numeric(year)28","Brachycentrus",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)27","Brachycentridae",0.0436120243151536,-88.5271804186504,0.624225229205298,"none",6,6
"as.numeric(year)26","Blephariceridae",0.231856326419139,-463.719525309416,0.205799553978945,"none",17,17
"as.numeric(year)25","Baetis.rhodani.group",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)24","Baetis.fuscatus.group",0.0823302755124016,-167.386280095896,0.489310753673714,"none",3,3
"as.numeric(year)23","Baetis.alius.group",0.200506028556581,-405.991737741223,0.265966452392958,"none",2,2
"as.numeric(year)22","Baetis",0.0968116622504719,-196.548369754599,0.426204768153566,"none",3,3
"as.numeric(year)21","Austrolimnophila",0.21849087840057,-443.065581035899,0.404748568840703,"none",1,1
"as.numeric(year)20","Attenella",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)19","Atherix",39.6518299018033,-80116.3271266902,0.99819040241566,"none",1,1
"as.numeric(year)18","Arctopsyche",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)17","Apataniidae",0.143695319989595,-291.484195225094,0.364580308869692,"none",2,2
"as.numeric(year)16","Apatania",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)15","Antocha.monticola",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)14","Anisoptera",0.11976650312356,-243.270131492045,0.428144904744345,"none",2,2
"as.numeric(year)13","Ancylidae",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)12","Anagapetus",0.0269216744329476,-54.0576323949698,0.742023267625791,"none",10,10
"as.numeric(year)11","Anafroptilum",0.110081704785503,-220.042226604,0.306759350175461,"none",15,15
"as.numeric(year)10","Ampumixis.dispar",0.057949118475839,-118.769276976964,0.673647165560067,"none",2,2
"as.numeric(year)9","Amphipoda",0.353808022059916,-710.879162759116,0.0250511426610263,"positive",12,12
"as.numeric(year)8","Amiocentrus",0.41125982981785,-826.352703114243,0.0241783615664153,"positive",12,12
"as.numeric(year)7","Americorophium",-0.244237684078306,487.728962855848,0.348307773011805,"none",1,1
"as.numeric(year)6","Ameletus",0.0672294845851399,-133.062021438759,0.620289790013224,"none",17,17
"as.numeric(year)5","Allocosmoecus",0.111982801535234,-227.103695203394,0.369398835317305,"none",3,3
"as.numeric(year)4","Agapetus",0.0208860656346637,-40.3418312558928,0.851319734992761,"none",16,16
"as.numeric(year)3","Afghanurus",0.242552043111866,-486.184917103289,0.0859088504743876,"none",15,15
"as.numeric(year)2","Acentrella",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
"as.numeric(year)1","Acari",1.55903456479327e-07,25.5657539019551,0.999999999985826,"none",19,19
