"","Locator","CollectDate","Year","Month","LabSampleNum","V1","Ammonia Nitrogen","Conductivity, Field","Dissolved Oxygen, Field","Fecal Coliform","Nitrite + Nitrate Nitrogen","Orthophosphate Phosphorus","pH, Field","Temperature","Total Alkalinity","Total Nitrogen","Total Phosphorus","Total Suspended Solids","Turbidity","Site.Number","block"
"44","0321",2022-02-16 09:38:00,2022,2,"L78514-4","09MID1537",0.103,131,10.9,NA,0.761,0.0302,7.51,8.65,51.1,1,0.0565,6.1,2.39,1,10002
"45","0321",2015-01-14 10:30:00,2015,1,"L61870-4","09MID1537",0.114,117,11,15,0.836,0.0276,7.34,6.8,45.6,1.09,0.0513,5.45,2.65,1,10001
"46","0321",2005-01-11 10:20:00,2005,1,"L34352-4","09MID1537",0.157,124,11.1,32,0.823,0.037,7.6,5.6,48.2,1.17,0.0614,7.2,3.16,1,10001
"47","0321",2016-06-15 11:05:00,2016,6,"L65574-4","09MID1537",0.0821,126,10.5,25,0.86,0.0216,7.56,11,49.7,1.06,0.033,3.3,1.33,1,10006
"48","0321",2006-11-15 10:42:00,2006,11,"L40942-4","09MID1537",0.146,103,9.1,20,1.05,0.0268,7.2,8.7,38.1,1.39,0.054,14.2,1.1,1,100011
"49","0321",2016-02-10 09:57:00,2016,2,"L64766-4","09MID1537",0.0374,109,10.8,12,0.875,0.015,7.31,8.2,41.4,1.04,0.0313,3.9,2,1,10002
"50","0321",2002-09-10 11:00:00,2002,9,"L25699-4","09MID1537",0.0759,122,10.6,67,0.744,0.0212,7,11.2,49.4,0.897,0.0318,0.95,0.79,1,10009
"51","0321",2008-06-19 10:54:00,2008,6,"L45628-4","09MID1537",NA,NA,NA,NA,NA,NA,8.08,11.6,50.4,NA,NA,NA,NA,1,10006
"52","0321",2017-09-13 10:23:00,2017,9,"L68496-4","09MID1537",0.0952,137,9.9,45,0.886,0.0329,7.54,11.6,52.7,1.07,0.0479,2.2,1.21,1,10009
"53","0321",2002-05-14 10:40:00,2002,5,"L24078-4","09MID1537",0.028,112,11.3,73,0.601,0.0176,7.9,9.9,45.1,0.737,0.0332,2.9,0.97,1,10005
"54","0321",2014-11-12 09:45:00,2014,11,"L61583-4","09MID1537",0.346,128,8,130,0.836,0.0359,6.91,5.9,50.6,1.51,0.0885,12.7,4.5,1,100011
"55","0321",2013-05-07 10:21:00,2013,5,"L57848-5","09MID1537",0.039,112,9.8,24,0.682,0.0202,7.49,11.1,47.1,0.817,0.0396,3.6,1.92,1,10005
"56","0321",2016-08-10 11:05:00,2016,8,"L65899-4","09MID1537",0.0655,136,10,8,0.914,0.0294,7.51,11.8,53,1.07,0.0443,1.2,0.57,1,10008
"57","0321",2021-02-10 10:55:00,2021,2,"L76378-4","09MID1537",0.11,130,11.4,NA,0.784,0.0328,7.48,6.83,50.7,1.1,0.0784,10.2,3.94,1,10002
"58","0321",2007-09-05 11:31:00,2007,9,"L43723-4","09MID1537",0.0832,129,9.9,170,0.718,0.0284,7.55,12.8,48.9,0.928,0.055,1.8,0.8,1,10009
"59","0321",2006-11-07 10:42:00,2006,11,"L40578-5","09MID1537",0.0812,85.8,8.1,510,1.6,0.0282,6.8,11.6,23.8,2.25,0.0736,26.8,9.11,1,100011
"60","0321",2004-01-14 10:26:00,2004,1,"L30673-4","09MID1537",0.0857,115,10.4,73,0.723,0.0214,7.2,7.6,41.8,1.27,0.0461,5,2.46,1,10001
"61","0321",2013-07-01 10:36:00,2013,7,"L58178-5","09MID1537",0.0366,121,10.6,70,0.699,0.0188,7.49,13.5,49.8,0.858,0.0299,2.1,1.17,1,10007
"62","0321",2008-06-12 12:03:00,2008,6,"L45703-4","09MID1537",0.0284,118,11.4,27,0.527,0.0212,8.26,11.7,48.4,0.76,0.0567,13.9,2.08,1,10006
"63","0321",2022-01-12 10:24:00,2022,1,"L78397-4","09MID1537",0.0612,103,10.5,NA,0.747,0.0192,7.17,8.55,37.9,0.907,0.0461,5.4,2.87,1,10001
"64","0321",2016-04-13 10:25:00,2016,4,"L65156-4","09MID1537",0.0588,113,11,63,0.734,0.0222,7.49,10,44.3,0.956,0.0413,4.1,1.69,1,10004
"65","0321",2024-03-13 09:35:00,2024,3,"L83378-3","09MID1537",0.138,135,10.9,NA,0.742,0.0324,7.3,8.31,53.8,1.04,0.0543,5.3,0.98,1,10003
"66","0321",2016-07-13 09:04:00,2016,7,"L65743-4","09MID1537",0.102,131,9.8,43,0.895,0.0268,7.29,11.9,51.2,1.11,0.0464,3.5,1.15,1,10007
"67","0321",2008-10-08 10:35:00,2008,10,"L46552-4","09MID1537",0.0589,130,10.5,17,0.767,0.0245,7.39,9.61,53.3,0.959,0.0464,5,0.629,1,100010
"68","0321",2006-06-14 11:05:00,2006,6,"L39411-4","09MID1537",0.0202,112,10.3,55,0.627,0.0247,7.4,11.9,44.5,0.844,0.0454,2.2,2.22,1,10006
"69","0321",2021-03-10 10:28:00,2021,3,"L76516-4","09MID1537",0.0758,125,11.4,NA,0.679,0.023,7.48,7.79,49.9,0.987,0.0475,4.7,1.52,1,10003
"70","0321",2022-09-14 09:51:00,2022,9,"L80023-3","09MID1537",0.082,145,10.3,NA,0.781,0.0282,7.38,11.2,56.9,0.967,0.0445,2.05,0.8,1,10009
"71","0321",2008-12-03 10:32:00,2008,12,"L47019-12","09MID1537",0.371,129,9.2,61,0.805,0.0778,7.23,9.14,53,1.65,0.13,17,2.93,1,100012
"72","0321",2019-04-10 10:25:00,2019,4,"L71992-4","09MID1537",0.15,119,10.3,58,0.612,0.0406,7.28,9.6,45.8,0.982,0.0758,3.5,2.44,1,10004
"73","0321",2005-09-14 10:10:00,2005,9,"L36785-4","09MID1537",0.13,131,10.1,250,0.803,0.0345,7.5,10.4,53.2,0.978,0.0453,2.7,1.1,1,10009
"74","0321",2019-05-15 09:41:00,2019,5,"L72306-4","09MID1537",0.0485,136,10.8,74,0.625,0.0251,7.6,10.8,54.2,0.801,0.0543,5.3,2.02,1,10005
"75","0321",2008-06-03 12:18:00,2008,6,"L44956-5","09MID1537",0.018,121,11.2,89,0.616,0.0217,8.15,10.8,49.1,0.768,0.0453,5.8,1.5,1,10006
"76","0321",2018-07-18 10:00:00,2018,7,"L70356-4","09MID1537",0.056,137,10.2,25,0.7,0.0215,7.53,12.5,53.3,0.889,0.0368,3.26,1.38,1,10007
"77","0321",2004-11-10 11:06:00,2004,11,"L33841-4","09MID1537",0.129,127,10.5,18,0.76,0.0396,7.4,8.8,50.4,1.12,0.0535,4.2,1.8,1,100011
"78","0321",2015-11-12 10:25:00,2015,11,"L64151-4","09MID1537",0.281,139,8.4,34,0.9,0.0407,7.17,8.5,53.2,1.53,0.0852,20.5,3.93,1,100011
"79","0321",2020-08-12 10:34:00,2020,8,"L75129-4","09MID1537",0.0385,144,10.4,120,0.81,0.0296,7.56,10.7,56,0.827,0.0365,1,0.47,1,10008
"80","0321",2003-05-13 10:35:00,2003,5,"L28250-4","09MID1537",0.0384,120,9.8,55,0.517,0.0221,7.6,11.4,48.3,0.695,0.0363,4.55,2.28,1,10005
"81","0321",2007-05-21 12:01:00,2007,5,"L41207-10","09MID1537",0.0213,116,11.5,230,0.616,0.0209,8.31,10.6,45.3,0.778,0.0376,3.8,2.58,1,10005
"82","0321",2021-10-13 10:07:00,2021,10,"L77812-4","09MID1537",0.169,155,9.62,NA,0.937,0.0346,7.21,9.2,61.3,1.21,0.0584,5.5,2.48,1,100010
"83","0321",2022-07-13 09:35:00,2022,7,"L79606-3","09MID1537",0.0817,136,10.5,310,0.687,0.0363,7.31,11.6,54.9,0.884,0.0527,3.1,1.22,1,10007
"84","0321",2008-09-04 10:58:00,2008,9,"L46407-4","09MID1537",0.137,136,9.9,160,0.992,0.0339,7.4,11.2,52.9,1.43,0.166,84.8,24.9,1,10009
"85","0321",2002-07-31 12:23:00,2002,7,"L25091-5","09MID1537",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10007
"86","0321",2018-12-12 09:52:00,2018,12,"L71436-4","09MID1537",0.265,125,10.3,95,0.765,0.0659,7.24,7.5,40.6,1.35,0.0904,5.4,2.87,1,100012
"87","0321",2018-10-10 09:13:00,2018,10,"L71065-4","09MID1537",0.092,149,9.7,24,0.869,0.0305,7.36,10,56.3,1.13,0.0557,2.68,0.91,1,100010
"88","0321",2013-08-06 10:39:00,2013,8,"L58300-5","09MID1537",0.0384,135,10.1,49,0.823,0.0198,7.4,11.6,51.9,0.961,0.0297,1.7,1.13,1,10008
"89","0321",2005-04-13 10:10:00,2005,4,"L35232-12","09MID1537",0.0975,113,11.2,52,0.624,0.0245,7.5,8,44.1,0.914,0.0403,1.9,1.8,1,10004
"90","0321",2016-11-16 09:44:00,2016,11,"L66567-4","09MID1537",0.264,117,6.5,160,0.793,0.0766,6.96,9.2,44.3,1.87,0.135,19.4,4.98,1,100011
"91","0321",2013-03-05 10:57:00,2013,3,"L57468-5","09MID1537",0.0914,117,10.2,10,0.737,0.0237,7.34,7.47,47.3,0.992,0.0575,10,3.4,1,10003
"92","0321",2019-08-14 10:31:00,2019,8,"L72764-4","09MID1537",0.066,149,10.2,29,0.763,0.0276,7.66,12.3,58.1,0.933,0.0392,0.8,0.43,1,10008
"93","0321",2007-01-10 09:49:00,2007,1,"L41465-4","09MID1537",0.0488,91.5,10.9,62,0.815,0.0182,7.1,6.4,33.9,1.05,0.0339,5.59,1.7,1,10001
"94","0321",2018-04-11 09:45:00,2018,4,"L69770-4","09MID1537",0.108,112,10.4,29,0.562,0.032,7.26,10,44.4,0.899,0.0585,3.5,1.78,1,10004
"95","0321",2021-09-15 09:45:00,2021,9,"L77707-4","09MID1537",0.114,157,9.4,NA,0.945,0.0502,7.09,10.8,61.4,1.11,0.0575,3.6,0.99,1,10009
"96","0321",2002-08-14 12:04:00,2002,8,"L25273-4","09MID1537",0.0361,125,10.2,61,0.71,0.0192,7.3,12.2,49.6,0.824,0.0352,3.37,1.4,1,10008
"97","0321",2020-10-14 09:55:00,2020,10,"L75648-4","09MID1537",0.127,138,8.1,25,0.896,0.0285,7.26,10.2,57.9,1.16,0.0704,11.1,3.1,1,100010
"98","0321",2018-04-11 09:48:00,2018,4,"L69770-16","09MID1537",0.108,112,10.4,28,0.561,0.0311,7.26,10,44.8,0.895,0.0565,3.3,2.03,1,10004
"99","0321",2022-03-15 10:25:00,2022,3,"L78775-4","09MID1537",0.06,108,10.7,NA,0.597,0.024,7.23,8.9,43.3,0.828,0.0423,4,2.05,1,10003
"100","0321",2005-08-10 09:38:00,2005,8,"L36340-4","09MID1537",0.137,129,9.8,86,0.807,0.0342,7.2,10.9,52,1.07,0.0477,2.1,0.87,1,10008
"101","0321",2014-05-13 10:47:00,2014,5,"L60167-5","09MID1537",0.0228,101,11.1,25,0.609,0.0161,7.38,11.7,42.9,0.825,0.0342,5.62,1.97,1,10005
"102","0321",2008-02-06 11:35:00,2008,2,"L45058-4","09MID1537",0.0872,121,10.9,17,0.801,0.0293,7.42,6.66,45.8,1.04,0.0458,8.9,2,1,10002
"103","0321",2020-09-28 10:23:00,2020,9,"L75218-4","09MID1537",0.0466,149,9.96,74,0.839,0.0315,7.42,10.1,57.4,1.03,0.0541,6.2,1.71,1,10009
"104","0321",2015-06-10 09:52:00,2015,6,"L62914-4","09MID1537",0.0278,129,10.6,80,0.741,0.0175,7.78,12.1,52.7,0.87,0.028,4.5,2.27,1,10006
"105","0321",2015-05-13 09:51:00,2015,5,"L62658-4","09MID1537",0.0396,124,10.5,70,0.69,0.0186,7.6,10.4,47.6,0.953,0.0412,6.6,2.35,1,10005
"106","0321",2014-02-12 11:20:00,2014,2,"L59629-5","09MID1537",0.131,112,10.1,140,0.775,0.0251,7.27,7.76,43.2,1.15,0.047,6,1.83,1,10002
"107","0321",2017-04-12 11:08:00,2017,4,"L67511-4","09MID1537",0.0649,109,10.6,25,0.673,0.0211,7.44,10,40.6,0.89,0.0378,2.6,1.77,1,10004
"108","0321",2004-05-12 10:18:00,2004,5,"L31880-4","09MID1537",0.0418,123,10.9,80,0.526,0.0208,7.4,10.4,47.1,0.352,0.0346,5.9,2.7,1,10005
"109","0321",2016-01-13 09:30:00,2016,1,"L64540-4","09MID1537",0.0519,106,10.8,62,0.879,0.0179,7.25,8,41,1.1,0.0366,9.1,7.18,1,10001
"110","0321",2019-06-12 10:05:00,2019,6,"L72455-4","09MID1537",0.101,144,10.2,91,0.719,0.0299,7.48,12.2,60.1,0.919,0.0394,1.9,1.09,1,10006
"111","0321",2020-12-16 10:56:00,2020,12,"L75999-4","09MID1537",0.257,141,10.1,72,0.851,0.0563,7.33,8.31,51.9,1.5,0.0876,9,3.8,1,100012
"112","0321",2005-10-31 13:11:00,2005,10,"L34678-10","09MID1537",0.0582,135,9.6,280,0.929,0.0348,7.3,9.8,53.3,1.2,0.0625,4.8,2.61,1,100010
"113","0321",2003-01-13 10:21:00,2003,1,"L26869-4","09MID1537",0.167,117,11.7,41,0.825,0.0384,7.1,7.9,47.7,1.4,0.0578,7.01,2.94,1,10001
"114","0321",2021-04-14 10:41:00,2021,4,"L76706-4","09MID1537",0.119,135,10.8,NA,0.719,0.0361,7.33,9.27,54.3,0.997,0.066,2.8,1.6,1,10004
"115","0321",2023-08-16 08:40:00,2023,8,"L82173-3","09MID1537",0.0613,168,10,28,0.899,0.0311,7.47,11.9,65.4,1.06,0.0414,1.4,0.37,1,10008
"116","0321",2003-12-10 11:15:00,2003,12,"L30478-4","09MID1537",0.167,115,11,76,0.854,0.0364,7.1,7.2,43.3,1.25,0.0518,4.2,1.4,1,100012
"117","0321",2019-12-18 10:01:00,2019,12,"L73754-4","09MID1537",0.18,102,10.8,220,0.917,0.0401,7.44,7,53.5,1.51,0.098,10.7,3.17,1,100012
"118","0321",2014-04-08 11:23:00,2014,4,"L60005-5","09MID1537",0.0642,105,10.2,14,0.69,0.0167,7.48,11.3,42.6,0.924,0.0357,3,1.28,1,10004
"119","0321",2002-11-12 12:50:00,2002,11,"L25790-5","09MID1537",0.0664,132,9.5,150,0.721,0.0275,7,9.9,50.8,0.812,0.0452,7.2,2.37,1,100011
"120","0321",2023-06-14 10:18:00,2023,6,"L81655-3","09MID1537",0.0763,155,10.8,NA,0.736,0.0297,7.61,11.3,61.6,0.862,0.0427,1.5,0.69,1,10006
"121","0321",2016-12-14 09:36:00,2016,12,"L66681-4","09MID1537",0.285,124,10.9,60,0.862,0.0499,7.32,5.9,47.9,1.53,0.0942,13.9,4.16,1,100012
"122","0321",2007-03-07 10:50:00,2007,3,"L41991-4","09MID1537",0.0863,110,10,6,0.712,0.0301,7.4,9.5,40.7,1.08,0.0497,4.1,1.7,1,10003
"123","0321",2020-02-12 10:40:00,2020,2,"L74057-4","09MID1537",0.0835,110,10.8,40,0.732,0.0293,7.33,8.5,40.9,1.01,0.0532,4.1,5.22,1,10002
"124","0321",2023-05-10 10:17:00,2023,5,"L81492-3","09MID1537",0.0676,144,11.1,NA,0.643,0.029,7.6,10.8,56,0.873,0.0533,3.9,1.8,1,10005
"125","0321",2002-10-14 10:33:00,2002,10,"L26091-4","09MID1537",0.0808,121,11.1,50,0.759,0.0295,7,8.1,50.5,0.915,0.0408,4.2,0.56,1,100010
"126","0321",2005-10-31 13:10:00,2005,10,"L34678-5","09MID1537",0.0558,136,9.7,190,0.913,0.0345,7.3,9.8,59.2,1.21,0.0625,5.57,2.59,1,100010
"127","0321",2022-12-14 10:12:00,2022,12,"L80564-14","09MID1537",0.603,158,9.81,NA,0.813,0.134,7.4,8,63.1,1.83,0.181,5.33,1.34,1,100012
"128","0321",2018-05-16 10:45:00,2018,5,"L70038-4","09MID1537",0.0626,125,10.7,19,0.648,0.0223,7.67,11.3,49.7,0.826,0.0381,3.3,1.5,1,10005
"129","0321",2023-02-15 09:43:00,2023,2,"L80966-3","09MID1537",0.135,141,11.4,NA,0.782,0.0335,7.44,6.54,55,1.12,0.0872,15.3,4.91,1,10002
"130","0321",2003-11-12 12:15:00,2003,11,"L30211-4","09MID1537",0.159,131,10.9,170,0.736,0.0439,7.1,8.7,51.1,1.15,0.0718,14.2,3.91,1,100011
"131","0321",2015-02-11 09:15:00,2015,2,"L62058-4","09MID1537",0.0711,101,10.5,13,0.963,0.0171,7.26,8.5,38.8,1.27,0.0389,4.96,2.48,1,10002
"132","0321",2014-09-17 10:40:00,2014,9,"L61131-5","09MID1537",0.105,131,9.1,120,0.871,0.0286,7,10.8,51.3,1.1,0.0415,1.16,1.11,1,10009
"133","0321",2007-07-05 11:01:00,2007,7,"L43111-4","09MID1537",0.012,121,9.6,430,0.534,0.0166,7.71,13.5,46.6,0.747,0.0481,17.6,3.66,1,10007
"134","0321",2007-02-07 10:03:00,2007,2,"L41679-4","09MID1537",0.138,110,9.8,11,0.752,0.0334,7.1,8.1,42.1,1.09,0.0542,5.5,1.6,1,10002
"135","0321",2013-04-02 11:08:00,2013,4,"L57620-5","09MID1537",0.139,122,10.5,10,0.726,0.0375,7.27,10.1,50.7,1.08,0.0569,3,1.48,1,10004
"136","0321",2003-10-13 10:42:00,2003,10,"L29849-4","09MID1537",0.0681,132,9,220,0.693,0.0289,7,10.8,53.5,0.904,0.0438,2,1.7,1,100010
"137","0321",2008-12-11 10:39:00,2008,12,"L47062-4","09MID1537",NA,NA,NA,NA,NA,NA,7.16,8.55,51.8,NA,NA,NA,NA,1,100012
"138","0321",2004-08-11 09:36:00,2004,8,"L32783-4","09MID1537",0.0697,133,10,130,0.648,0.0185,7.4,12.4,51.9,0.797,0.0302,1.1,0.75,1,10008
"139","0321",2008-04-09 11:07:00,2008,4,"L45371-4","09MID1537",0.0604,110,11.5,3,0.584,0.0299,7.41,8.65,42.9,0.875,0.0514,3.5,1,1,10004
"140","0321",2017-03-15 10:09:00,2017,3,"L67269-4","09MID1537",0.0502,88.6,10.4,60,0.743,0.0216,7.2,9.3,33.4,1.02,0.0469,13.5,5.67,1,10003
"141","0321",2008-07-09 10:20:00,2008,7,"L45856-4","09MID1537",0.0284,129,10.7,160,0.705,0.0221,7.72,12.2,53.3,0.848,0.0289,3.5,0.73,1,10007
"142","0321",2013-06-04 10:46:00,2013,6,"L58012-5","09MID1537",0.044,117,11,9,0.654,0.0188,7.65,11.8,49.1,0.847,0.0316,2.8,1.58,1,10006
"143","0321",2017-08-15 11:28:00,2017,8,"L68282-4","09MID1537",0.0879,131,10.2,48,0.762,0.022,7.58,11.9,50.9,1.01,0.039,2.2,1.4,1,10008
"144","0321",2004-10-12 11:15:00,2004,10,"L33221-4","09MID1537",0.0705,131,11,110,0.679,0.0283,7,10.6,51.5,0.904,0.0439,1.5,1.3,1,100010
"145","0321",2007-12-03 12:06:00,2007,12,"L42989-5","09MID1537",0.155,99,8.9,710,1.16,0.0487,7.14,8.4,34.5,2.04,0.127,29.8,16.3,1,100012
"146","0321",2022-08-10 09:56:00,2022,8,"L79826-3","09MID1537",0.0471,141,10.3,NA,0.7,0.0267,7.36,11.5,56.3,0.88,0.0384,0.8,0.97,1,10008
"147","0321",2004-12-07 10:50:00,2004,12,"L34113-4","09MID1537",0.122,119,10.5,51,0.787,0.034,7.4,7.5,46.5,1.1,0.0571,3.6,2.3,1,100012
"148","0321",2008-08-20 12:15:00,2008,8,"L45938-5","09MID1537",0.12,133,9.8,80,0.777,0.0371,7.45,12.3,53,1.01,0.0539,1.9,0.52,1,10008
"149","0321",2007-05-21 12:00:00,2007,5,"L41207-5","09MID1537",0.0214,116,11.6,250,0.616,0.0212,8.3,10.6,45.6,0.749,0.0347,3.9,1.5,1,10005
