"","Site","slope_hpc","LRpval_hpc","LRtrend_hpc","MKtau_hpc","MKSlope_hpc","MKpval_hpc","MKinter_hpc","MKtrend_hpc","slope_hpdur","LRpval_hpdur","LRtrend_hpdur","MKtau_hpdur","MKSlope_hpdur","MKpval_hpdur","MKinter_hpdur","MKtrend_hpdur","slope_hprange","LRpval_hprange","LRtrend_hprange","MKtau_hprange","MKSlope_hprange","MKpval_hprange","MKinter_hprange","MKtrend_hprange","slope_tqm","LRpval_tqm","LRtrend_tqm","MKtau_tqm","MKSlope_tqm","MKpval_tqm","MKinter_tqm","MKtrend_tqm","slope_RBI","LRpval_RBI","LRtrend_RBI","MKtau_RBI","MKSlope_RBI","MKpval_RBI","MKinter_RBI","MKtrend_RBI","slope_maxtomeanQ","LRpval_maxtomeanQ","LRtrend_maxtomeanQ","MKtau_maxtomeanQ","MKSlope_maxtomeanQ","MKpval_maxtomeanQ","MKinter_maxtomeanQ","MKtrend_maxtomeanQ","slope_LFI","LRpval_LFI","LRtrend_LFI","MKtau_LFI","MKSlope_LFI","MKpval_LFI","MKinter_LFI","MKtrend_LFI","Nyears"
"201","08EVA3555",0.0571428571428533,0.643333049635361,"none",0.0571428571428571,0,0.737446251659533,6,"none",0.115877059448488,0.663076071102102,"none",0.0761904761904762,0.054617604617604,0.650581986958389,-103.335064935064,"none",0.0246753246752985,0.990217024027547,"none",0.0714285714285714,1.35769230769231,0.672331896666797,-2593.67692307692,"none",0.000387345269447208,0.867640881751125,"none",0.0952380952380952,0.00198630136986305,0.566142727568169,-3.62657534246583,"none",0.000984923704944769,0.39351177908722,"none",0.0666666666666667,0.000375279021632458,0.694644497461478,-0.632316446410193,"none",0.192014510599786,0.153858757599667,"none",0.152380952380952,0.0605972692220792,0.349219342794742,-115.894954761804,"none",0.00437639647562338,0.57803465272385,"none",0.0761904761904762,0.00484209961515922,0.650581986958389,-8.72978528428081,"none",21
"222","28A",0.096103896103892,0.48859393701602,"none",0.1,0.0871212121212121,0.542864708172935,-164.287878787879,"none",0.0170309865840805,0.826859817036535,"none",0.0476190476190476,0.0166666666666665,0.785797106178966,-30.0627450980389,"none",1.04415584415579,0.699505663346105,"none",0.119047619047619,1.11111111111111,0.468417198594286,-2096.55555555556,"none",0.000123852493041793,0.934660773126685,"none",-0.00476190476190476,-1.92486606140362e-05,1,0.312700907895167,"none",0.000172203405654313,0.911193200021883,"none",0.0285714285714286,0.000314584271157282,0.879987855827713,-0.298570704593218,"none",-8.29207620149931e-06,0.999971235043141,"none",0.0380952380952381,0.0258721415022333,0.832591967665674,-39.1301175615028,"none",0.00413533629391166,0.482405397757893,"none",0.0952380952380952,0.00306491912393183,0.566142727568169,-5.18528551169747,"none",21
"243","08CED4975",0.16969696969697,0.536717281554848,"none",0.133333333333333,0.222222222222222,0.647161773909684,-437.888888888889,"none",-0.242554869373055,0.264979258006131,"none",-0.155555555555556,-0.155677655677657,0.591505036994917,318.155815018317,"none",-1.79393939393937,0.81176489531132,"none",-0.0222222222222222,-1.33333333333333,1,2874.83333333333,"none",-0.00371902269948513,0.634057880729259,"none",-0.0222222222222222,-0.000137235821044496,1,0.62134765576267,"none",0.00903596881933684,0.128331275490223,"none",0.377777777777778,0.0109763520727076,0.152406283956749,-21.8852421346252,"none",0.219443391705604,0.682105294125678,"none",0.2,0.3350666850907,0.474274350767329,-666.991768584807,"none",0.0168688104155276,0.620695007862799,"none",0.111111111111111,0.0239909837174033,0.720514787136255,-47.3664102752547,"none",10
"253","08WES0903",0.088311688311683,0.434805881726534,"none",0.0571428571428571,0,0.735546980932884,7,"none",-0.0348579829261639,0.589708500952391,"none",-0.0761904761904762,-0.0176992690567351,0.650284189014326,40.0654747966964,"none",-2.48961038961032,0.400330450773449,"none",-0.147619047619048,-1.88888888888889,0.364765987735366,3938.44444444444,"none",0.00211029482531836,0.206883196900844,"none",0.133333333333333,0.00119116853902388,0.414465039572887,-2.06603000761988,"none",-0.00115557759133523,0.197058575397307,"none",-0.228571428571429,-0.00122997248298506,0.155824587862033,2.64779764605223,"none",-0.0520372934395617,0.444789654890996,"none",-0.114285714285714,-0.0390128495812688,0.487350390335321,84.4038081619516,"none",-0.00163091951582087,0.835247396258653,"none",-0.00952380952380952,-0.000507806960241808,0.975910003234818,1.96610973171456,"none",21
"274","09MIL0340",0.202789076118537,0.302424342790825,"none",0.168421052631579,0.153846153846154,0.291589354091327,-301.923076923077,"none",-0.746672753935973,0.0101957828121785,"negative",-0.378947368421053,-0.430555555555557,0.0195100210942751,873.187500000002,"negative",2.64206856478793,0.535096936773845,"none",0.0421052631578947,0.615384615384615,0.817878591565237,-1094.69230769231,"none",0.0125541481978974,9.21738832967682e-06,"positive",0.484210526315789,0.012054794520548,0.00285285512188507,-23.9464653042893,"positive",-0.00884123387113339,1.35497879678018e-05,"negative",-0.778947368421053,-0.00759277196662499,1.44311019818286e-06,15.5278869646839,"negative",-0.855142169195549,9.17699631746496e-06,"negative",-0.526315789473684,-0.820995071661181,0.00117277645251408,1661.82138206332,"negative",0.0182203875704963,0.157261513429876,"none",0.189473684210526,0.021289224803134,0.251228489875663,-41.8624510308258,"none",10
"275","09MIL0390",0.202789076118537,0.302424342790825,"none",0.168421052631579,0.153846153846154,0.291589354091327,-301.923076923077,"none",-0.746672753935973,0.0101957828121785,"negative",-0.378947368421053,-0.430555555555557,0.0195100210942751,873.187500000002,"negative",2.64206856478793,0.535096936773845,"none",0.0421052631578947,0.615384615384615,0.817878591565237,-1094.69230769231,"none",0.0125541481978974,9.21738832967682e-06,"positive",0.484210526315789,0.012054794520548,0.00285285512188507,-23.9464653042893,"positive",-0.00884123387113339,1.35497879678018e-05,"negative",-0.778947368421053,-0.00759277196662499,1.44311019818286e-06,15.5278869646839,"negative",-0.855142169195549,9.17699631746496e-06,"negative",-0.526315789473684,-0.820995071661181,0.00117277645251408,1661.82138206332,"negative",0.0182203875704963,0.157261513429876,"none",0.189473684210526,0.021289224803134,0.251228489875663,-41.8624510308258,"none",10
"294","Miller_Cove",0.183225508317918,0.186400270230077,"none",0.169117647058824,0.158333333333333,0.361393086698529,-304.883333333333,"none",-0.00677616501900214,0.861610194202761,"none",-0.00735294117647059,-0.00157828282828277,1,6.01199494949484,"none",2.33479667282813,0.437520701969003,"none",0.154411764705882,2,0.409625746268431,-3804,"none",0.00257245560152526,0.00519497075941097,"positive",0.411764705882353,0.00273972602739726,0.0234762206100809,-5.26027397260273,"positive",-0.00145594292803788,0.307964947756416,"none",-0.176470588235294,-0.00172057072216164,0.343419487182742,3.90699217798616,"none",-0.0651090280333997,0.65669030396498,"none",0,-0.01863542989493,1,51.1734179093111,"none",-0.00825172899857569,0.296271940902521,"none",-0.102941176470588,-0.00668180366024019,0.59230128143299,14.4758184718306,"none",17
"311","Miller_SWSSD",-0.436363636363675,0.174839774035596,"none",-0.266666666666667,-0.333333333333333,0.313954464714331,687.666666666667,"none",0.0888592040914017,0.535243300359574,"none",0.111111111111111,0.10204081632653,0.720514787136255,-203.044717887154,"none",-1.80000000000031,0.851734782379978,"none",0.0222222222222222,0.571428571428571,1,-873.785714285714,"none",0.00174318981415332,0.50908489600435,"none",0.2,0.0027397260273975,0.474274350767329,-5.24558724455471,"none",-0.00875015784352403,0.0100389533108155,"negative",-0.688888888888889,-0.00902631497717957,0.00729035809153564,18.624597353974,"negative",-0.0799580418583124,0.83277749802051,"none",-0.0666666666666667,-0.0342589591240502,0.858027656987521,80.1744084599206,"none",-0.0447487860696646,0.0397508980363856,"negative",-0.422222222222222,-0.0433526105366617,0.107404636330254,88.4449681176406,"none",10
"321","VashShing",0.111688311688307,0.354913345931151,"none",0.133333333333333,0.0871212121212121,0.410590651628775,-167.287878787879,"none",0.0205617164221057,0.703572048111948,"none",0.0571428571428571,0.0111291486291491,0.739534808184702,-18.2100288600299,"none",0.603896103896064,0.658800401502754,"none",0.0476190476190476,0.577380952380952,0.785606291430601,-1034.69047619048,"none",0.000503323310419628,0.732241042017851,"none",0.0571428571428571,0.000716064757160687,0.73930520337885,-1.20574961381167,"none",-0.000517303683621047,0.813083866634761,"none",-0.0666666666666667,-0.000788338628897935,0.694644497461478,1.91919783941362,"none",-0.0363501369547383,0.893365760316606,"none",-0.0285714285714286,-0.107751849560462,0.879987855827713,231.472352284025,"none",0.00944548891554504,0.0159602527765041,"positive",0.40952380952381,0.00968362020684371,0.0102660035819151,-18.4963879887892,"positive",21
"342","09SOO1022",0.13636363636363,0.387448488147516,"none",0.1,0.0769230769230769,0.542615538832377,-141.769230769231,"none",0.035908952158951,0.599240879007129,"none",0.0238095238095238,0.00872507122507138,0.903815551843177,-13.6173433048436,"none",1.1064935064935,0.584983516633823,"none",0.171428571428571,1.38461538461538,0.29012049354268,-2621.84615384615,"none",-0.00265098775765743,0.115354164298879,"none",-0.295238095238095,-0.00313462061721662,0.0652277195897385,6.62106433211306,"none",0.00523605697201173,0.00621604076632852,"positive",0.371428571428571,0.00481045626603496,0.0200632459497888,-9.30312798485845,"positive",0.289921534086542,0.166098241685821,"none",0.238095238095238,0.352488572125853,0.138966893956733,-694.592126076067,"none",-0.0279767046433493,0.0479084249533482,"negative",-0.314285714285714,-0.0189995573673393,0.0496694253231422,39.0911933504159,"negative",21
"363","09SOO1209",-0.0623376623376657,0.537209229643676,"none",-0.0714285714285714,0,0.668413642351392,7,"none",-0.0623641798317124,0.269768546720215,"none",-0.180952380952381,-0.0709790209790221,0.263872009473237,147.264335664338,"none",-0.967532467532475,0.538475231739054,"none",-0.171428571428571,-1.5,0.29012049354268,3136,"none",0.000886293884272809,0.753194702490249,"none",0.0666666666666667,0.00172979514434713,0.694379725321368,-3.13881777578161,"none",0.000697108351640128,0.762560723602154,"none",0.019047619047619,0.0001989084800398,0.927817769226368,-0.231180292816508,"none",0.234472896956332,0.554871475111898,"none",-0.0380952380952381,-0.0620692665035802,0.832591967665674,131.480135368681,"none",-0.00155526727341333,0.739667092987126,"none",-0.142857142857143,-0.00435762633786132,0.381187304987758,9.77838956191585,"none",21
