"","Subbasin","mean_Overall.Score","SD_overallscore","SE_overallscore","len","RKT_trend","Avg_RKTSlope_Overall.Score","Avg_RKTtau_Overall.Score","Avg_RKTpval_Overall.Score","sites","min","max","med"
"25","Mill Creek Subbasin",49.1377233519947,10.3368118545321,1.77274860793657,34,"none",0.221314688666178,0.108695652173913,0.407410763206717,2,24.8011327337953,66.0090004994246,52.3639593026113
"26","Miller Creek Subbasin",24.9370344608672,15.0530711887049,3.36596904480876,20,"positive",1.48316793822792,0.444444444444444,0.0136411557949685,2,1.83823529411765,50.9631874373576,26.2937232216428
"27","Newaukum Creek Subbasin",72.7452328532632,10.4729952989797,1.13595583247015,85,"positive",0.5860251403703,0.264069264069264,0.00106595835333723,5,41.9900132227514,93.5732634138927,74.5142010292489
"28","North Creek Subbasin",36.6137280012871,16.5792927721343,2.47149504382421,45,"positive",0.937795741681693,0.432926829268293,0.000128155756017989,3,5.79458450046685,73.5234675265455,33.2535014005602
"29","Sammamish River Subbasin",31.2058279955117,24.9425112207648,2.50681669843958,99,"positive",0.461002042142397,0.22972972972973,0.0026103679039442,7,0,79.4790127393267,23.7244296331344
"30","Soos Creek Subbasin",65.5343748453865,14.2195624258027,1.5072706025969,89,"none",0.488056381263235,0.153538050734312,0.0502227825180435,5,28.1216395983118,93.4958083192477,68.2557922393764
"31","Swamp Creek Subbasin",41.4372656883824,9.07297429068718,1.5121623817812,36,"none",-0.0448585935122082,-0.00977198697068404,0.957467580833265,2,23.5168135797771,61.1059214383428,42.7118649479376
"32","Thornton Creek Subbasin",6.27112965051167,8.06668889937948,1.85062535375666,19,"none",0.269005847953216,0.315789473684211,0.0635432497785806,1,0,33.8013538748833,3.06599832915623
"33","Tibbetts Creek Subbasin",36.8506130318304,18.8560277865636,3.56345430269792,28,"none",0.208760537707906,0.0575916230366492,0.715784794545751,2,8.96311858076564,77.516084442753,36.3531941744466
"34","Upper Cedar River Subbasin",85.0880655811896,10.188508227948,2.47107621125318,17,"none",0.745286787705683,0.25,0.174033580208164,1,67.09413838975,99.6382428940568,86.5354131452663
"35","Vashon-Maury Island Subbasin",49.36352998187,20.8946504222861,4.09777808588218,26,"positive",1.54476281332606,0.388535031847134,0.0102588676222686,2,6.32236227824463,80.515368162769,55.7421236344395
"36","W Lake Sammamish Subbasin",19.9107513235132,9.43422482010536,1.72244591551561,30,"none",0.426130733811275,0.205479452054795,0.144605568537566,2,1.14912280701754,42.6730314728911,19.7649548803609
"37","W Lake Washington - Seattle N Subbasin",15.8864431465501,4.52374181056702,1.06625617019635,18,"none",0.12876121991025,0.0849673202614379,0.649445669217466,1,6.94210817742029,22.4323159700437,15.9869981040152
"38","W Lake Washington - Seattle S Subbasin",18.9069604310333,11.829079590691,1.56679986721679,57,"positive",0.418498648836208,0.261538461538462,0.00983568608512075,4,0.166666666666667,45.7041995092611,17.2737523814095
