"","Sample.Code","Site.Code","Visit.Date","Year","precip","precipdays","wtr_year"
"63","08BEA3571_19","08BEA3571",2019-08-19,"2019",866.1,148,2019
"64","08BEA3571_20","08BEA3571",2020-08-10,"2020",1236.4,177,2020
"65","08BEA3571_2002","08BEA3571",2002-09-11,"2002",1237.9,200,2002
"66","08BEA3571_2003","08BEA3571",2003-08-07,"2003",898.8,156,2003
"67","08BEA3571_2007","08BEA3571",2007-08-07,"2007",1222.4,192,2007
"68","08BEA3571_21","08BEA3571",2021-09-16,"2021",1028.4,175,2021
"69","08BEA3571QC_2007","08BEA3571",2007-08-07,"2007",1222.4,192,2007
"70","08BEA3650/06","08BEA3650",2006-08-17,"2006",1207.1,183,2006
"71","08BEA3650/06-R","08BEA3650",2006-08-17,"2006",1207.1,183,2006
"72","08BEA3650/08","08BEA3650",2008-08-03,"2008",1104,203,2008
"73","08BEA3650/09","08BEA3650",2009-08-19,"2009",992.3,163,2009
"74","08BEA3650/10","08BEA3650",2010-08-25,"2010",1240.9,192,2010
"75","08BEA3650_11","08BEA3650",2011-09-07,"2011",1335,209,2011
"76","08BEA3650_12","08BEA3650",2012-08-29,"2012",1223.8,195,2012
"77","08BEA3650_13","08BEA3650",2013-08-15,"2013",1273.1,180,2013
"78","08BEA3650_14","08BEA3650",2014-08-26,"2014",1090.2,152,2014
"79","08BEA3650_15","08BEA3650",2015-09-03,"2015",1083.2,151,2015
"80","08BEA3650_15_R","08BEA3650",2015-09-03,"2015",1083.2,151,2015
"81","08BEA3650_16","08BEA3650",2016-08-22,"2016",1271,181,2016
"82","08BEA3650_17","08BEA3650",2017-09-18,"2017",1436.8,193,2017
"83","08BEA3650_18","08BEA3650",2018-09-19,"2018",1364.6,190,2018
"84","08BEA3650_18_Rep","08BEA3650",2018-09-19,"2018",1364.6,190,2018
"85","08BEA3650_19","08BEA3650",2019-08-06,"2019",897.2,149,2019
"86","08BEA3650_20","08BEA3650",2020-08-10,"2020",1300.6,180,2020
"87","08BEA3650_2002","08BEA3650",2002-08-08,"2002",1296.5,197,2002
"88","08BEA3650_2003","08BEA3650",2003-08-12,"2003",946.5,163,2003
"89","08BEA3650_2007","08BEA3650",2007-08-16,"2007",1278.2,194,2007
"90","08BEA3650_21","08BEA3650",2021-08-04,"2021",1055.7,163,2021
"91","08BEA3650QC_2007","08BEA3650",2007-08-16,"2007",1278.2,194,2007
"92","08BEA3737/05","08BEA3737",2005-08-09,"2005",1006.9,179,2005
"93","08BEA3737/05-R","08BEA3737",2005-08-23,"2005",1014,180,2005
"94","08BEA3737/06","08BEA3737",2006-08-17,"2006",1207.1,183,2006
"95","08BEA3737/08","08BEA3737",2008-08-13,"2008",1109.5,204,2008
"96","08BEA3737/09","08BEA3737",2009-08-06,"2009",963.6,157,2009
"97","08BEA3737/09-R","08BEA3737",2009-08-06,"2009",963.6,157,2009
"98","08BEA3737/10","08BEA3737",2010-08-10,"2010",1239.3,191,2010
"99","08BEA3737_12","08BEA3737",2012-08-14,"2012",1223.8,195,2012
"100","08BEA3737_13","08BEA3737",2013-08-15,"2013",1273.1,180,2013
"101","08BEA3737_14","08BEA3737",2014-08-26,"2014",1090.2,152,2014
"102","08BEA3737_15","08BEA3737",2015-08-20,"2015",1017,144,2015
"103","08BEA3737_15_R","08BEA3737",2015-08-20,"2015",1017,144,2015
"104","08BEA3737_16","08BEA3737",2016-09-07,"2016",1305.4,188,2016
"105","08BEA3737_17","08BEA3737",2017-09-18,"2017",1436.8,193,2017
"106","08BEA3737_18","08BEA3737",2018-09-19,"2018",1364.6,190,2018
"107","08BEA3737_18_Rep","08BEA3737",2018-09-19,"2018",1364.6,190,2018
"108","08BEA3737_19","08BEA3737",2019-07-16,"2019",871.3,144,2019
"109","08BEA3737_20","08BEA3737",2020-07-21,"2020",1284.6,174,2020
"110","08BEA3737_2002","08BEA3737",2002-08-29,"2002",1296.5,197,2002
"111","08BEA3737_2002R2","08BEA3737",2002-08-29,"2002",1296.5,197,2002
"112","08BEA3737_2003","08BEA3737",2003-08-06,"2003",939.5,160,2003
"113","08BEA3737_2007","08BEA3737",2007-08-08,"2007",1277.7,193,2007
"114","08BEA3737_21","08BEA3737",2021-08-04,"2021",1055.7,163,2021
"115","08BEA3747/05","08BEA3747",2005-08-09,"2005",1039.1,181,2005
"116","08BEA3747/05-R","08BEA3747",2005-08-09,"2005",1039.1,181,2005
"117","08BEA3747/06","08BEA3747",2006-08-30,"2006",1249.8,189,2006
"118","08BEA3747/08","08BEA3747",2008-08-11,"2008",1139,204,2008
"119","08BEA3747/09","08BEA3747",2009-08-19,"2009",1018.4,167,2009
"120","08BEA3747/10","08BEA3747",2010-08-25,"2010",1291.5,194,2010
"121","08BEA3747_11","08BEA3747",2011-08-03,"2011",1382.9,211,2011
"122","08BEA3747_12","08BEA3747",2012-08-24,"2012",1276.3,196,2012
"123","08BEA3747_13","08BEA3747",2013-08-27,"2013",1333.6,185,2013
"124","08BEA3747_14","08BEA3747",2014-09-03,"2014",1166.3,155,2014
"125","08BEA3747_14_R","08BEA3747",2014-09-03,"2014",1166.3,155,2014
"126","08BEA3747_15","08BEA3747",2015-09-08,"2015",1118.9,157,2015
"127","08BEA3747_15_R","08BEA3747",2015-09-08,"2015",1118.9,157,2015
"128","08BEA3747_16","08BEA3747",2016-08-09,"2016",1334,183,2016
"129","08BEA3747_17","08BEA3747",2017-07-24,"2017",1473.4,192,2017
"130","08BEA3747_18","08BEA3747",2018-09-27,"2018",1425.7,192,2018
"131","08BEA3747_19","08BEA3747",2019-08-19,"2019",933.6,157,2019
"132","08BEA3747_20","08BEA3747",2020-08-31,"2020",1371.6,186,2020
"133","08BEA3747_2002","08BEA3747",2002-08-15,"2002",1332.9,198,2002
"134","08BEA3747_2003","08BEA3747",2003-08-07,"2003",961.5,160,2003
"135","08BEA3747_2007","08BEA3747",2007-08-07,"2007",1312.2,195,2007
"136","08BEA3747_21","08BEA3747",2021-08-09,"2021",1105.4,165,2021
"137","08BEA3826/05","08BEA3826",2005-08-09,"2005",1006.9,179,2005
"138","08BEA3826/06","08BEA3826",2006-08-22,"2006",1207.1,183,2006
"139","08BEA3826/09","08BEA3826",2009-08-19,"2009",992.3,163,2009
"140","08BEA3826/10","08BEA3826",2010-08-25,"2010",1240.9,192,2010
"141","08BEA3826_11","08BEA3826",2011-08-03,"2011",1328.3,207,2011
"142","08BEA3826_12","08BEA3826",2012-08-14,"2012",1223.8,195,2012
"143","08BEA3826_13","08BEA3826",2013-08-21,"2013",1273.1,180,2013
"144","08BEA3826_13_Rep","08BEA3826",2013-08-21,"2013",1273.1,180,2013
"145","08BEA3826_14","08BEA3826",2014-09-02,"2014",1121.9,156,2014
"146","08BEA3826_15","08BEA3826",2015-08-19,"2015",1016.7,143,2015
"147","08BEA3826_16","08BEA3826",2016-08-10,"2016",1271,181,2016
"148","08BEA3826_17","08BEA3826",2017-08-22,"2017",1422.1,190,2017
"149","08BEA3826_18","08BEA3826",2018-08-06,"2018",1299.4,175,2018
"150","08BEA3826_19","08BEA3826",2019-08-06,"2019",897.2,149,2019
"151","08BEA3826_20","08BEA3826",2020-08-20,"2020",1304.6,183,2020
"152","08BEA3826_2002","08BEA3826",2002-08-08,"2002",1296.5,197,2002
"153","08BEA3826_2007","08BEA3826",2007-08-02,"2007",1273.9,190,2007
"154","08BEA3826_21","08BEA3826",2021-09-02,"2021",1067.9,171,2021
"155","08CED2433/06","08CED2433",2006-08-29,"2006",1055.2,174,2006
"156","08CED2433/08","08CED2433",2008-08-18,"2008",835.2,184,2008
"157","08CED2433/09","08CED2433",2009-08-17,"2009",838.7,155,2009
"158","08CED2433/10","08CED2433",2010-08-18,"2010",1049.9,175,2010
"159","08CED2433_11","08CED2433",2011-08-18,"2011",1191.4,185,2011
"160","08CED2433_12","08CED2433",2012-08-29,"2012",1023.5,176,2012
"161","08CED2433_13","08CED2433",2013-09-03,"2013",1098.8,179,2013
"162","08CED2433_13_Rep","08CED2433",2013-09-03,"2013",1098.8,179,2013
"163","08CED2433_14","08CED2433",2014-08-26,"2014",932.9,135,2014
"164","08CED2433_15","08CED2433",2015-08-26,"2015",892.4,134,2015
"165","08CED2433_16","08CED2433",2016-07-27,"2016",1220.5,167,2016
"166","08CED2433_17","08CED2433",2017-08-28,"2017",1325.7,177,2017
"167","08CED2433_18","08CED2433",2018-08-29,"2018",1065,156,2018
"168","08CED2433_19","08CED2433",2019-09-23,"2019",972.5,154,2019
"169","08CED2433_20","08CED2433",2020-08-17,"2020",1017.2,167,2020
"170","08CED2433_2003","08CED2433",2003-08-11,"2003",825.9,152,2003
"171","08CED2433_21","08CED2433",2021-09-14,"2021",949.9,163,2021
"172","08CED2518/09","08CED2518",2009-08-11,"2009",954.4,156,2009
"173","08CED2518_12","08CED2518",2012-08-27,"2012",1153.1,175,2012
"174","08CED2518_13","08CED2518",2013-08-08,"2013",1169.5,175,2013
"175","08CED2518_15","08CED2518",2015-08-13,"2015",977.5,137,2015
"176","08CED2518_16","08CED2518",2016-07-27,"2016",1337,173,2016
"177","08CED2518_19","08CED2518",2019-08-01,"2019",961,143,2019
"178","08CED2518_20","08CED2518",2020-08-05,"2020",1133.2,174,2020
"179","08CED2518_21","08CED2518",2021-09-14,"2021",1026.2,170,2021
"180","08CED2711/05","08CED2711",2005-08-18,"2005",962,164,2005
"181","08CED2711/06","08CED2711",2006-08-28,"2006",1213,173,2006
"182","08CED2711_11","08CED2711",2011-08-18,"2011",1372.9,187,2011
"183","08CED2711_12","08CED2711",2012-08-29,"2012",1210.2,178,2012
"184","08CED2711_13","08CED2711",2013-07-09,"2013",1200.5,172,2013
"185","08CED2711_14","08CED2711",2014-08-07,"2014",1069,139,2014
"186","08CED2711_15","08CED2711",2015-08-13,"2015",1007,136,2015
"187","08CED2711_17_R","08CED2711",2017-09-21,"2017",1485.6,196,2017
"188","08CED2711_18","08CED2711",2018-08-01,"2018",1151,162,2018
"189","08CED2711_20","08CED2711",2020-08-11,"2020",1148.2,174,2020
"190","08CED2711_2003","08CED2711",2003-08-11,"2003",948.5,159,2003
"191","08CED2898/05","08CED2898",2005-08-08,"2005",956.8,163,2005
"192","08CED2898/09","08CED2898",2009-08-11,"2009",1014.7,160,2009
"193","08CED2898/10","08CED2898",2010-08-18,"2010",1218.4,175,2010
"194","08CED2898_12","08CED2898",2012-08-27,"2012",1210.2,178,2012
"195","08CED2898_13","08CED2898",2013-08-13,"2013",1204.8,176,2013
"196","08CED2898_14","08CED2898",2014-08-07,"2014",1069,139,2014
"197","08CED2898_15","08CED2898",2015-08-18,"2015",1031.3,137,2015
"198","08CED2898_17","08CED2898",2017-08-10,"2017",1451.7,187,2017
"199","08CED2898_18","08CED2898",2018-08-01,"2018",1151,162,2018
"200","08CED2898_19","08CED2898",2019-08-01,"2019",977.4,141,2019
"201","08CED2898_20","08CED2898",2020-08-05,"2020",1144.5,172,2020
"202","08CED2898_21","08CED2898",2021-07-22,"2021",1030.7,159,2021
"203","08CED4192/05","08CED4192",2005-08-08,"2005",1084,170,2005
"204","08CED4192/06","08CED4192",2006-08-23,"2006",1384.8,183,2006
"205","08CED4192/08","08CED4192",2008-08-27,"2008",1191.7,205,2008
"206","08CED4192/09","08CED4192",2009-08-11,"2009",1203.1,165,2009
"207","08CED4192/10","08CED4192",2010-08-18,"2010",1303.9,185,2010
"208","08CED4192_11","08CED4192",2011-09-19,"2011",1521,202,2011
"209","08CED4192_12","08CED4192",2012-08-27,"2012",1324.2,182,2012
"210","08CED4192_13","08CED4192",2013-08-05,"2013",1252.8,179,2013
"211","08CED4192_14","08CED4192",2014-09-03,"2014",1322.2,153,2014
"212","08CED4192_15","08CED4192",2015-08-18,"2015",1038.7,140,2015
"213","08CED4192_16","08CED4192",2016-08-09,"2016",1480,189,2016
"214","08CED4192_17","08CED4192",2017-08-10,"2017",1347.9,191,2017
"215","08CED4192_17_R","08CED4192",2017-08-10,"2017",1347.9,191,2017
"216","08CED4192_18","08CED4192",2018-08-30,"2018",1189.4,178,2018
"217","08CED4192_19","08CED4192",2019-07-23,"2019",1061.8,150,2019
"218","08CED4192_20","08CED4192",2020-08-05,"2020",1209.7,166,2020
"219","08CED4192_2002","08CED4192",2002-08-21,"2002",1491.8,199,2002
"220","08CED4192_2003","08CED4192",2003-08-14,"2003",1063.6,164,2003
"221","08CED4192_2007","08CED4192",2007-08-29,"2007",1504.6,191,2007
"222","08CED4192_21","08CED4192",2021-08-02,"2021",1150.5,168,2021
"223","08CED4975/05","08CED4975",2005-08-25,"2005",1202.8,176,2005
"224","08CED4975/06","08CED4975",2006-08-23,"2006",1522.2,184,2006
"225","08CED4975/08","08CED4975",2008-08-26,"2008",1423.3,212,2008
"226","08CED4975/10","08CED4975",2010-08-26,"2010",1391.5,187,2010
"227","08CED4975_11","08CED4975",2011-08-17,"2011",1765.3,196,2011
"228","08CED4975_12","08CED4975",2012-09-05,"2012",1570.5,189,2012
"229","08CED4975_13","08CED4975",2013-09-11,"2013",1552,189,2013
"230","08CED4975_14","08CED4975",2014-09-23,"2014",1580.9,161,2014
"231","08CED4975_16","08CED4975",2016-08-03,"2016",1760.6,196,2016
"232","08CED4975_17","08CED4975",2017-07-31,"2017",1631.7,205,2017
"233","08CED4975_19","08CED4975",2019-07-31,"2019",1266,173,2019
"234","08CED4975_2002","08CED4975",2002-09-05,"2002",1659.6,207,2002
"235","08CED4975_2007","08CED4975",2007-09-20,"2007",1701.8,205,2007
"236","08CED5032/06","08CED5032",2006-08-23,"2006",1642.5,187,2006
"237","08CED5032/08","08CED5032",2008-09-03,"2008",1625.2,224,2008
"238","08CED5032/09","08CED5032",2009-08-27,"2009",1580.1,185,2009
"239","08CED5032/10","08CED5032",2010-08-26,"2010",1487.7,193,2010
"240","08CED5032_11","08CED5032",2011-08-17,"2011",1978.3,201,2011
"241","08CED5032_12","08CED5032",2012-08-30,"2012",1775.3,193,2012
"242","08CED5032_13","08CED5032",2013-09-11,"2013",1732.9,190,2013
"243","08CED5032_14","08CED5032",2014-09-23,"2014",1787.8,161,2014
"244","08CED5032_16","08CED5032",2016-08-03,"2016",1956.8,200,2016
"245","08CED5032_17","08CED5032",2017-07-31,"2017",1821.4,206,2017
"246","08CED5032_18","08CED5032",2018-08-30,"2018",1855.4,198,2018
"247","08CED5032_19","08CED5032",2019-07-31,"2019",1393.4,178,2019
"248","08CED5032_20","08CED5032",2020-07-28,"2020",1850.8,198,2020
"249","08CED5032_2002","08CED5032",2002-09-10,"2002",1803.1,212,2002
"250","08CED5032_2003","08CED5032",2003-08-14,"2003",1282.6,161,2003
"251","08CED5032_2007","08CED5032",2007-09-20,"2007",1872.6,211,2007
"252","08CED5032_21","08CED5032",2021-07-13,"2021",1524,182,2021
"253","08CED5046/05","08CED5046",2005-08-25,"2005",1667.5,180,2005
"254","08CED5046/08","08CED5046",2008-08-26,"2008",2004.4,221,2008
"255","08CED5046/09","08CED5046",2009-08-27,"2009",1905.8,187,2009
"256","08CED5046/10","08CED5046",2010-08-26,"2010",1892.4,194,2010
"257","08CED5046/10-R","08CED5046",2010-08-26,"2010",1892.4,194,2010
"258","08CED5046_12","08CED5046",2012-09-05,"2012",2307.1,194,2012
"259","08CED5046_13","08CED5046",2013-09-11,"2013",2238.5,195,2013
"260","08CED5046_14","08CED5046",2014-09-23,"2014",2325,165,2014
"261","08CED5046_15","08CED5046",2015-08-03,"2015",1727.5,144,2015
"262","08CED5046_16","08CED5046",2016-08-03,"2016",2482.1,201,2016
"263","08CED5046_16_R","08CED5046",2016-08-03,"2016",2482.1,201,2016
"264","08CED5046_17","08CED5046",2017-07-31,"2017",2225.3,206,2017
"265","08CED5046_18","08CED5046",2018-09-17,"2018",2464.4,213,2018
"266","08CED5046_21","08CED5046",2021-07-12,"2021",1945.1,185,2021
"267","08EAS1536/06","08EAS1536",2006-08-02,"2006",936,170,2006
"268","08EAS1536/09","08EAS1536",2009-08-25,"2009",745.9,154,2009
"269","08EAS1536/10","08EAS1536",2010-08-10,"2010",988.2,177,2010
"270","08EAS1536_11","08EAS1536",2011-08-04,"2011",1060.7,189,2011
"271","08EAS1536_12","08EAS1536",2012-08-22,"2012",933.1,171,2012
"272","08EAS1536_13","08EAS1536",2013-08-08,"2013",1035.1,163,2013
"273","08EAS1536_14_R","08EAS1536",2014-08-27,"2014",833.4,140,2014
"274","08EAS1536_15","08EAS1536",2015-08-11,"2015",789.4,136,2015
"275","08EAS1536_16","08EAS1536",2016-08-17,"2016",1045,176,2016
"276","08EAS1536_17","08EAS1536",2017-08-21,"2017",1123.7,189,2017
"277","08EAS1536_18","08EAS1536",2018-09-17,"2018",947.5,177,2018
"278","08EAS1536_19","08EAS1536",2019-07-18,"2019",731.1,133,2019
"279","08EAS1536_20","08EAS1536",2020-08-31,"2020",957,173,2020
"280","08EAS1536_2007","08EAS1536",2007-08-01,"2007",961.3,175,2007
"281","08EAS1536_21","08EAS1536",2021-09-20,"2021",913.7,157,2021
"282","08EAS1964/05-R","08EAS1964",2005-08-22,"2005",841.5,165,2005
"283","08EAS1964/06","08EAS1964",2006-08-03,"2006",1068,173,2006
"284","08EAS1964/09","08EAS1964",2009-08-03,"2009",829.4,147,2009
"285","08EAS1964/10-R","08EAS1964",2010-08-10,"2010",1076.8,174,2010
"286","08EAS1964_11","08EAS1964",2011-08-31,"2011",1222.6,187,2011
"287","08EAS1964_12","08EAS1964",2012-08-01,"2012",1031.6,169,2012
"288","08EAS1964_13","08EAS1964",2013-08-05,"2013",1086,170,2013
"289","08EAS1964_13_R","08EAS1964",2013-08-05,"2013",1086,170,2013
"290","08EAS1964_14","08EAS1964",2014-08-20,"2014",944.8,135,2014
"291","08EAS1964_15","08EAS1964",2015-09-14,"2015",961.4,142,2015
"292","08EAS1964_16","08EAS1964",2016-08-10,"2016",1235.3,167,2016
"293","08EAS1964_17","08EAS1964",2017-08-01,"2017",1331.3,177,2017
"294","08EAS1964_18","08EAS1964",2018-08-14,"2018",1081.9,156,2018
"295","08EAS1964_18_R","08EAS1964",2018-08-14,"2018",1081.9,156,2018
"296","08EAS1964_19","08EAS1964",2019-08-20,"2019",878.6,141,2019
"297","08EAS1964_20","08EAS1964",2020-08-19,"2020",1065.6,169,2020
"298","08EAS1964_2003","08EAS1964",2003-08-08,"2003",831.9,149,2003
"299","08EAS1964_21","08EAS1964",2021-09-20,"2021",984.9,170,2021
"300","08EAS2058/05","08EAS2058",2005-08-17,"2005",841.5,165,2005
"301","08EAS2058/06","08EAS2058",2006-08-07,"2006",1068,173,2006
"302","08EAS2058/09","08EAS2058",2009-08-03,"2009",829.4,147,2009
"303","08EAS2058/10","08EAS2058",2010-08-10,"2010",1076.8,174,2010
"304","08EAS2058_11","08EAS2058",2011-08-01,"2011",1217,185,2011
"305","08EAS2058_12","08EAS2058",2012-08-01,"2012",1031.6,169,2012
"306","08EAS2058_13","08EAS2058",2013-07-30,"2013",1085,169,2013
"307","08EAS2058_13_rep","08EAS2058",2013-07-30,"2013",1085,169,2013
"308","08EAS2058_14","08EAS2058",2014-08-04,"2014",913.3,132,2014
"309","08EAS2058_16","08EAS2058",2016-08-02,"2016",1232.8,166,2016
"310","08EAS2058_17","08EAS2058",2017-08-03,"2017",1331.3,177,2017
"311","08EAS2058_18","08EAS2058",2018-08-14,"2018",1081.9,156,2018
"312","08EAS2058_19","08EAS2058",2019-09-04,"2019",888.9,144,2019
"313","08EAS2058_20","08EAS2058",2020-07-27,"2020",1060.1,167,2020
"314","08EAS2058_2002","08EAS2058",2002-08-12,"2002",1105.5,183,2002
"315","08EAS2058_2003","08EAS2058",2003-08-08,"2003",831.9,149,2003
"316","08EAS2058_21","08EAS2058",2021-07-29,"2021",945.5,156,2021
"317","08EAS2191/05","08EAS2191",2005-08-16,"2005",829.8,167,2005
"318","08EAS2191/06","08EAS2191",2006-08-02,"2006",1033,174,2006
"319","08EAS2191/08","08EAS2191",2008-08-04,"2008",874.7,188,2008
"320","08EAS2191/08-R","08EAS2191",2008-08-04,"2008",874.7,188,2008
"321","08EAS2191/09","08EAS2191",2009-08-25,"2009",829.1,159,2009
"322","08EAS2191/10","08EAS2191",2010-09-09,"2010",1098.9,189,2010
"323","08EAS2191_11","08EAS2191",2011-08-04,"2011",1139.5,195,2011
"324","08EAS2191_11_R","08EAS2191",2011-08-04,"2011",1139.5,195,2011
"325","08EAS2191_12","08EAS2191",2012-08-22,"2012",1014.5,170,2012
"326","08EAS2191_13","08EAS2191",2013-08-08,"2013",1092.4,165,2013
"327","08EAS2191_14","08EAS2191",2014-08-21,"2014",896.8,146,2014
"328","08EAS2191_15","08EAS2191",2015-08-11,"2015",862.3,136,2015
"329","08EAS2191_16","08EAS2191",2016-08-17,"2016",1120.3,176,2016
"330","08EAS2191_17","08EAS2191",2017-08-21,"2017",1241.4,185,2017
"331","08EAS2191_18","08EAS2191",2018-09-24,"2018",1099.9,186,2018
"332","08EAS2191_19","08EAS2191",2019-09-16,"2019",845.3,149,2019
"333","08EAS2191_20","08EAS2191",2020-08-20,"2020",1043.9,174,2020
"334","08EAS2191_2002","08EAS2191",2002-08-12,"2002",1077.4,186,2002
"335","08EAS2191_2003","08EAS2191",2003-08-27,"2003",800.9,153,2003
"336","08EAS2191_21","08EAS2191",2021-08-04,"2021",918.3,159,2021
"337","08EAS2272/06","08EAS2272",2006-08-02,"2006",1098,174,2006
"338","08EAS2272/08","08EAS2272",2008-08-04,"2008",931.9,192,2008
"339","08EAS2272/09","08EAS2272",2009-08-25,"2009",905.5,157,2009
"340","08EAS2272/09-R","08EAS2272",2009-08-25,"2009",905.5,157,2009
"341","08EAS2272/10","08EAS2272",2010-08-10,"2010",1123.7,184,2010
"342","08EAS2272_11","08EAS2272",2011-09-12,"2011",1224.1,189,2011
"343","08EAS2272_12","08EAS2272",2012-08-22,"2012",1076.4,173,2012
"344","08EAS2272_13","08EAS2272",2013-08-20,"2013",1144.5,172,2013
"345","08EAS2272_14","08EAS2272",2014-08-12,"2014",971,141,2014
"346","08EAS2272_15","08EAS2272",2015-09-14,"2015",1002.8,145,2015
"347","08EAS2272_16","08EAS2272",2016-08-29,"2016",1210.9,177,2016
"348","08EAS2272_17","08EAS2272",2017-08-14,"2017",1367.3,181,2017
"349","08EAS2272_18","08EAS2272",2018-07-31,"2018",1138,162,2018
"350","08EAS2272_19","08EAS2272",2019-10-03,"2019",2.1,2,2020
"351","08EAS2272_19_R","08EAS2272",2019-10-03,"2019",2.1,2,2020
"352","08EAS2272_20","08EAS2272",2020-09-03,"2020",1113.7,176,2020
"353","08EAS2272_2002","08EAS2272",2002-09-12,"2002",1154.4,192,2002
"354","08EAS2272_2003","08EAS2272",2003-08-21,"2003",862.1,155,2003
"355","08EAS2272_2007","08EAS2272",2007-08-01,"2007",1158.3,178,2007
