"","Sample.Code","Total_Richness","E_Richness","P_Richness","T_Richness","Clin_Richness","LL_Richness","Intol_Richness","Dom_Abund","Tol_Abund","Pred_Abund","Tot_Abund","Tol_Percent","Pred_Percent","Dom_Percent","Tot_Richness_Score","E_Richness_Score","P_Richness_Score","T_Richness_Score","Cling_Richness_Score","LL_Richness_Score","Intol_Richness_Score","Dom_Percent_Score","Pred_Percent_Score","Tol_Percent_Score","Overall.Score","WRIA.Number","Basin","Subbasin","Stream.or.River","Project","Visit.Date","Year","Lab.Name","Site.Code","Latitude","Longitude"
"11","02O_11_R2",26,3,4,4,8,7,2,223,60,45,362,16.5745856353591,12.4309392265193,61.6022099447514,4.76190476190476,2.85714285714286,4.28571428571429,3.75,1.76470588235294,6.25,2.85714285714286,5.36783948822332,5.71546961325967,6.14544520107928,43.75536494682,8,"Sammamish River Basin","Bear Creek Subbasin","Seidel Creek","Regulatory Effectiveness","2011-08-26",2011,"Rhithron Associates, Inc.","02O",47.711746,-122.052054
"12","02O_11_R3",24,3,6,4,7,5,2,105,67,50,198,33.8383838383838,25.2525252525253,53.030303030303,3.80952380952381,2.85714285714286,7.14285714285714,3.75,1.17647058823529,3.75,2.85714285714286,7.62360446570973,10,2.13060840967818,45.0973501302899,8,"Sammamish River Basin","Bear Creek Subbasin","Seidel Creek","Regulatory Effectiveness","2011-08-26",2011,"Rhithron Associates, Inc.","02O",47.711746,-122.052054
"13","02O_12_R1",16,4,4,5,10,4,4,57,34,32,112,30.3571428571429,28.5714285714286,50.8928571428571,0,4.28571428571429,4.28571428571429,5,2.94117647058824,2.5,5.71428571428571,8.18609022556391,10,2.94019933554817,45.8531803174146,8,"Sammamish River Basin","Bear Creek Subbasin","Seidel Creek","Regulatory Effectiveness","2012-08-13",2012,"Rhithron Associates, Inc.","02O",47.711746,-122.052054
"14","02O_12_R2",17,3,2,4,8,3,2,42,28,32,88,31.8181818181818,36.3636363636364,47.7272727272727,0.476190476190476,2.85714285714286,1.42857142857143,3.75,1.76470588235294,1.25,2.85714285714286,9.01913875598086,10,2.60042283298097,36.0033150903624,8,"Sammamish River Basin","Bear Creek Subbasin","Seidel Creek","Regulatory Effectiveness","2012-08-13",2012,"Rhithron Associates, Inc.","02O",47.711746,-122.052054
"15","02O_12_R3",19,3,2,5,8,3,3,60,19,40,130,14.6153846153846,30.7692307692308,46.1538461538462,1.42857142857143,2.85714285714286,1.42857142857143,5,1.76470588235294,1.25,4.28571428571429,9.4331983805668,10,6.60107334525939,44.0489776081791,8,"Sammamish River Basin","Bear Creek Subbasin","Seidel Creek","Regulatory Effectiveness","2012-08-13",2012,"Rhithron Associates, Inc.","02O",47.711746,-122.052054
"16","02O_14",26,4,5,6,11,6,2,237,160,99,450,35.5555555555556,22,52.6666666666667,4.76190476190476,4.28571428571429,5.71428571428571,6.25,3.52941176470588,5,2.85714285714286,7.71929824561404,10,1.7312661498708,51.8490237792383,8,"Sammamish River Basin","Bear Creek Subbasin","Seidel Creek","Bear Creek BP","2014-09-16",2014,"Rhithron Associates, Inc.","02O",47.711746,-122.052054
"17","02O_15",28,4,5,6,12,8,3,192,121,192,337,35.9050445103858,56.973293768546,56.973293768546,5.71428571428571,4.28571428571429,5.71428571428571,6.25,4.11764705882353,7.5,4.28571428571429,6.58597532406684,10,1.6499896487475,56.1036120316379,8,"Sammamish River Basin","Bear Creek Subbasin","Seidel Creek","Bear Creek BP","2015-08-31",2015,"Rhithron Associates, Inc.","02O",47.711746,-122.052054
"18","02O_19_R1",20,3,4,5,12,4,3,37,22,37,76,28.9473684210526,48.6842105263158,48.6842105263158,1.9047619047619,2.85714285714286,4.28571428571429,5,4.11764705882353,2.5,4.28571428571429,8.76731301939058,10,3.26805385556915,46.9863472671166,8,"Sammamish River Basin","Bear Creek Subbasin","Seidel Creek","Regulatory Effectiveness","2019-09-25",2019,"Rhithron Associates, Inc.","02O",47.711746,-122.052054
"19","02O_19_R2",20,3,5,3,10,4,3,35,12,25,76,15.7894736842105,32.8947368421053,46.0526315789474,1.9047619047619,2.85714285714286,5.71428571428571,2.5,2.94117647058824,2.5,4.28571428571429,9.45983379501385,10,6.32802937576499,48.4909444032718,8,"Sammamish River Basin","Bear Creek Subbasin","Seidel Creek","Regulatory Effectiveness","2019-09-25",2019,"Rhithron Associates, Inc.","02O",47.711746,-122.052054
"20","02O_19_R3",8,1,0,2,4,2,0,12,4,9,19,21.0526315789474,47.3684210526316,63.1578947368421,0,0,0,1.25,0,0,0,4.9584487534626,10,5.10403916768666,21.3124879211493,8,"Sammamish River Basin","Bear Creek Subbasin","Seidel Creek","Regulatory Effectiveness","2019-09-25",2019,"Rhithron Associates, Inc.","02O",47.711746,-122.052054
"21","02O_20_R1",12,3,2,3,6,2,2,37,6,13,61,9.83606557377049,21.3114754098361,60.655737704918,0,2.85714285714286,1.42857142857143,2.5,0.588235294117647,0,2.85714285714286,5.61691113028473,10,7.71254288982082,33.5605464570803,8,"Sammamish River Basin","Bear Creek Subbasin","Seidel Creek","Regulatory Effectiveness","2020-09-23",2020,"Rhithron Associates, Inc.","02O",47.711746,-122.052054
"22","02O_20_R2",27,5,5,6,13,4,3,267,18,43,450,4,9.55555555555556,59.3333333333333,5.23809523809524,5.71428571428571,5.71428571428571,6.25,4.70588235294118,2.5,4.28571428571429,5.96491228070175,4.27777777777778,9.06976744186047,53.7207208056621,8,"Sammamish River Basin","Bear Creek Subbasin","Seidel Creek","Regulatory Effectiveness","2020-09-23",2020,"Rhithron Associates, Inc.","02O",47.711746,-122.052054
"23","02O_20_R3",26,5,4,6,12,5,2,99,72,68,258,27.906976744186,26.3565891472868,38.3720930232558,4.76190476190476,5.71428571428571,4.28571428571429,6.25,4.11764705882353,3.75,2.85714285714286,10,10,3.51000540832883,55.2467000862,8,"Sammamish River Basin","Bear Creek Subbasin","Seidel Creek","Regulatory Effectiveness","2020-09-23",2020,"Rhithron Associates, Inc.","02O",47.711746,-122.052054
"24","02O_21_R1",21,4,3,5,9,4,2,86,16,45,199,8.04020100502512,22.6130653266332,43.21608040201,2.38095238095238,4.28571428571429,2.85714285714286,5,2.35294117647059,2.5,2.85714285714286,10,10,8.13018581278486,50.3640793702078,8,"Sammamish River Basin","Bear Creek Subbasin","Seidel Creek","Regulatory Effectiveness","2021-09-21",2021,"Rhithron Associates, Inc.","02O",47.711746,-122.052054
"25","02O_21_R2",21,3,7,3,10,6,3,53,3,27,111,2.7027027027027,24.3243243243243,47.7477477477478,2.38095238095238,2.85714285714286,8.57142857142857,2.5,2.94117647058824,5,4.28571428571429,9.01375059269796,10,9.37146448774356,56.9216296462679,8,"Sammamish River Basin","Bear Creek Subbasin","Seidel Creek","Regulatory Effectiveness","2021-09-21",2021,"Rhithron Associates, Inc.","02O",47.711746,-122.052054
"26","02O_21_R3",14,2,4,5,9,6,2,18,1,12,34,2.94117647058824,35.2941176470588,52.9411764705882,0,1.42857142857143,4.28571428571429,5,2.35294117647059,5,2.85714285714286,7.64705882352941,10,9.31600547195622,47.8874340433848,8,"Sammamish River Basin","Bear Creek Subbasin","Seidel Creek","Regulatory Effectiveness","2021-09-21",2021,"Rhithron Associates, Inc.","02O",47.711746,-122.052054
"27","02P-08R1",23,2,5,5,10,9,4,359,309,12,450,68.6666666666667,2.66666666666667,79.7777777777778,3.33333333333333,1.42857142857143,5.71428571428571,5,2.94117647058824,8.75,5.71428571428571,0.584795321637426,0.833333333333334,0,34.2997813160352,8,"Sammamish River Basin","Bear Creek Subbasin","Seidel Creek","Regulatory Effectiveness","2008-08-26",2008,"ABR, Inc.","02P",47.706608,-122.054366
"28","02P-08R2",18,3,4,3,8,7,2,80,46,6,113,40.7079646017699,5.30973451327434,70.7964601769911,0.952380952380952,2.85714285714286,4.28571428571429,2.5,1.76470588235294,6.25,2.85714285714286,2.94829995342338,2.15486725663717,0.533031487960486,27.1032855327549,8,"Sammamish River Basin","Bear Creek Subbasin","Seidel Creek","Regulatory Effectiveness","2008-08-26",2008,"ABR, Inc.","02P",47.706608,-122.054366
"29","02P-08R3",16,3,3,2,5,4,0,104,88,4,126,69.8412698412698,3.17460317460317,82.5396825396825,0,2.85714285714286,2.85714285714286,1.25,0,2.5,0,0,1.08730158730159,0,10.5515873015873,8,"Sammamish River Basin","Bear Creek Subbasin","Seidel Creek","Regulatory Effectiveness","2008-08-26",2008,"ABR, Inc.","02P",47.706608,-122.054366
"30","02P/09R1",21,3,3,3,10,7,1,289,131,6,354,37.0056497175141,1.69491525423729,81.638418079096,2.38095238095238,2.85714285714286,2.85714285714286,2.5,2.94117647058824,6.25,1.42857142857143,0.0951531370799898,0.347457627118644,1.39403494941532,23.0516317080117,8,"Sammamish River Basin","Bear Creek Subbasin","Seidel Creek","Regulatory Effectiveness","2009-08-17",2009,"ABR, Inc.","02P",47.706608,-122.054366
"31","02P/09R2",23,2,4,4,10,7,1,391,341,17,450,75.7777777777778,3.77777777777778,86.8888888888889,3.33333333333333,1.42857142857143,4.28571428571429,3.75,2.94117647058824,6.25,1.42857142857143,0,1.38888888888889,0,24.8062558356676,8,"Sammamish River Basin","Bear Creek Subbasin","Seidel Creek","Regulatory Effectiveness","2009-08-17",2009,"ABR, Inc.","02P",47.706608,-122.054366
"32","02P/09R3",24,2,5,4,10,9,2,387,344,19,450,76.4444444444444,4.22222222222222,86,3.80952380952381,1.42857142857143,5.71428571428571,3.75,2.94117647058824,8.75,2.85714285714286,0,1.61111111111111,0,30.8618113912232,8,"Sammamish River Basin","Bear Creek Subbasin","Seidel Creek","Regulatory Effectiveness","2009-08-17",2009,"ABR, Inc.","02P",47.706608,-122.054366
"33","02P/10-R1",22,2,4,4,10,7,0,204,111,8,241,46.0580912863071,3.3195020746888,84.6473029045643,2.85714285714286,1.42857142857143,4.28571428571429,3.75,2.94117647058824,6.25,0,0,1.1597510373444,0,22.6723560793612,8,"Sammamish River Basin","Bear Creek Subbasin","Seidel Creek","Regulatory Effectiveness","2010-08-19",2010,"Rhithron Associates, Inc.","02P",47.706608,-122.054366
"34","02P/10-R2",18,3,2,2,8,5,1,129,44,5,158,27.8481012658228,3.16455696202532,81.6455696202532,0.952380952380952,2.85714285714286,1.42857142857143,1.25,1.76470588235294,3.75,1.42857142857143,0.0932711525649541,1.08227848101266,3.52369738004121,18.1306195626384,8,"Sammamish River Basin","Bear Creek Subbasin","Seidel Creek","Regulatory Effectiveness","2010-08-19",2010,"Rhithron Associates, Inc.","02P",47.706608,-122.054366
"35","02P/10-R3",14,0,4,2,5,5,0,77,16,2,104,15.3846153846154,1.92307692307692,74.0384615384615,0,0,4.28571428571429,1.25,0,3.75,0,2.09514170040486,0.461538461538462,6.4221824686941,18.2645769163517,8,"Sammamish River Basin","Bear Creek Subbasin","Seidel Creek","Regulatory Effectiveness","2010-08-19",2010,"Rhithron Associates, Inc.","02P",47.706608,-122.054366
"36","02P_11_R1",21,1,4,4,9,5,1,393,255,12,450,56.6666666666667,2.66666666666667,87.3333333333333,2.38095238095238,0,4.28571428571429,3.75,2.35294117647059,3.75,1.42857142857143,0,0.833333333333334,0,18.781512605042,8,"Sammamish River Basin","Bear Creek Subbasin","Seidel Creek","Regulatory Effectiveness","2011-08-26",2011,"Rhithron Associates, Inc.","02P",47.706608,-122.054366
"37","02P_11_R2",18,2,3,4,8,4,0,245,60,31,323,18.5758513931889,9.59752321981424,75.8513931888545,0.952380952380952,1.42857142857143,2.85714285714286,3.75,1.76470588235294,2.5,0,1.61805442398566,4.29876160990712,5.68003455972352,24.8496517140645,8,"Sammamish River Basin","Bear Creek Subbasin","Seidel Creek","Regulatory Effectiveness","2011-08-26",2011,"Rhithron Associates, Inc.","02P",47.706608,-122.054366
"38","02P_11_R3",23,2,5,5,10,5,0,313,84,33,450,18.6666666666667,7.33333333333333,69.5555555555556,3.33333333333333,1.42857142857143,5.71428571428571,5,2.94117647058824,3.75,0,3.27485380116959,3.16666666666667,5.65891472868217,34.2678021432971,8,"Sammamish River Basin","Bear Creek Subbasin","Seidel Creek","Regulatory Effectiveness","2011-08-26",2011,"Rhithron Associates, Inc.","02P",47.706608,-122.054366
"39","02P_12_R1",18,0,3,3,9,6,0,265,27,18,339,7.9646017699115,5.30973451327434,78.1710914454277,0.952380952380952,0,2.85714285714286,2.5,2.35294117647059,5,0,1.00760751436112,2.15486725663717,8.14776703025314,24.9727067872458,8,"Sammamish River Basin","Bear Creek Subbasin","Seidel Creek","Regulatory Effectiveness","2012-08-14",2012,"Rhithron Associates, Inc.","02P",47.706608,-122.054366
"40","02P_12_R2",13,0,1,3,7,4,0,399,22,22,450,4.88888888888889,4.88888888888889,88.6666666666667,0,0,0,2.5,1.17647058823529,2.5,0,0,1.94444444444444,8.86304909560723,16.983964128287,8,"Sammamish River Basin","Bear Creek Subbasin","Seidel Creek","Regulatory Effectiveness","2012-08-14",2012,"Rhithron Associates, Inc.","02P",47.706608,-122.054366
"41","02P_12_R3",15,0,3,3,9,6,0,388,205,39,450,45.5555555555556,8.66666666666667,86.2222222222222,0,0,2.85714285714286,2.5,2.35294117647059,5,0,0,3.83333333333333,0,16.5434173669468,8,"Sammamish River Basin","Bear Creek Subbasin","Seidel Creek","Regulatory Effectiveness","2012-08-14",2012,"Rhithron Associates, Inc.","02P",47.706608,-122.054366
"42","02P_14",29,2,5,4,15,11,1,247,152,87,450,33.7777777777778,19.3333333333333,54.8888888888889,6.19047619047619,1.42857142857143,5.71428571428571,3.75,5.88235294117647,10,1.42857142857143,7.13450292397661,9.16666666666667,2.14470284237726,52.8401301361018,8,"Sammamish River Basin","Bear Creek Subbasin","Seidel Creek","Bear Creek BP","2014-09-16",2014,"Rhithron Associates, Inc.","02P",47.706608,-122.054366
"43","02P_15",31,3,6,4,14,10,2,212,123,58,450,27.3333333333333,12.8888888888889,47.1111111111111,7.14285714285714,2.85714285714286,7.14285714285714,3.75,5.29411764705882,10,2.85714285714286,9.1812865497076,5.94444444444444,3.64341085271318,57.813259493924,8,"Sammamish River Basin","Bear Creek Subbasin","Seidel Creek","Bear Creek BP","2015-08-31",2015,"Rhithron Associates, Inc.","02P",47.706608,-122.054366
"44","02P_19_R1",19,3,2,3,10,7,3,31,7,17,60,11.6666666666667,28.3333333333333,51.6666666666667,1.42857142857143,2.85714285714286,1.42857142857143,2.5,2.94117647058824,6.25,4.28571428571429,7.98245614035088,10,7.28682170542636,46.9604543163655,8,"Sammamish River Basin","Bear Creek Subbasin","Seidel Creek","Regulatory Effectiveness","2019-09-25",2019,"Rhithron Associates, Inc.","02P",47.706608,-122.054366
"45","02P_19_R2",9,1,0,2,4,1,1,36,3,13,48,6.25,27.0833333333333,75,0,0,0,1.25,0,0,1.42857142857143,1.8421052631579,10,8.54651162790698,23.0671883196363,8,"Sammamish River Basin","Bear Creek Subbasin","Seidel Creek","Regulatory Effectiveness","2019-09-25",2019,"Rhithron Associates, Inc.","02P",47.706608,-122.054366
"46","02P_19_R3",17,2,4,3,11,7,2,43,12,24,81,14.8148148148148,29.6296296296296,53.0864197530864,0.476190476190476,1.42857142857143,4.28571428571429,2.5,3.52941176470588,6.25,2.85714285714286,7.60883690708252,10,6.55469422911283,45.4905619485203,8,"Sammamish River Basin","Bear Creek Subbasin","Seidel Creek","Regulatory Effectiveness","2019-09-25",2019,"Rhithron Associates, Inc.","02P",47.706608,-122.054366
"47","02P_20_R1",16,4,3,3,6,4,3,13,2,8,35,5.71428571428571,22.8571428571429,37.1428571428571,0,4.28571428571429,2.85714285714286,2.5,0.588235294117647,2.5,4.28571428571429,10,10,8.67109634551495,45.687903068204,8,"Sammamish River Basin","Bear Creek Subbasin","Seidel Creek","Regulatory Effectiveness","2020-09-23",2020,"Rhithron Associates, Inc.","02P",47.706608,-122.054366
"48","02P_20_R2",18,3,3,3,10,6,3,31,20,26,65,30.7692307692308,40,47.6923076923077,0.952380952380952,2.85714285714286,2.85714285714286,2.5,2.94117647058824,5,4.28571428571429,9.02834008097166,10,2.84436493738819,43.266262441329,8,"Sammamish River Basin","Bear Creek Subbasin","Seidel Creek","Regulatory Effectiveness","2020-09-23",2020,"Rhithron Associates, Inc.","02P",47.706608,-122.054366
"49","02P_20_R3",23,3,5,4,12,9,3,46,19,34,110,17.2727272727273,30.9090909090909,41.8181818181818,3.33333333333333,2.85714285714286,5.71428571428571,3.75,4.11764705882353,8.75,4.28571428571429,10,10,5.9830866807611,58.7912099300608,8,"Sammamish River Basin","Bear Creek Subbasin","Seidel Creek","Regulatory Effectiveness","2020-09-23",2020,"Rhithron Associates, Inc.","02P",47.706608,-122.054366
"50","02P_21_R1",26,5,4,3,13,9,3,110,2,26,195,1.02564102564103,13.3333333333333,56.4102564102564,4.76190476190476,5.71428571428571,4.28571428571429,2.5,4.70588235294118,8.75,4.28571428571429,6.73414304993252,6.16666666666667,9.76147883124627,57.6657899484057,8,"Sammamish River Basin","Bear Creek Subbasin","Seidel Creek","Regulatory Effectiveness","2021-09-21",2021,"Rhithron Associates, Inc.","02P",47.706608,-122.054366
"51","02P_21_R2",24,4,4,6,15,8,3,72,2,21,136,1.47058823529412,15.4411764705882,52.9411764705882,3.80952380952381,4.28571428571429,4.28571428571429,6.25,5.88235294117647,7.5,4.28571428571429,7.64705882352941,7.22058823529412,9.65800273597811,60.8246694026448,8,"Sammamish River Basin","Bear Creek Subbasin","Seidel Creek","Regulatory Effectiveness","2021-09-21",2021,"Rhithron Associates, Inc.","02P",47.706608,-122.054366
"52","02P_21_R3",17,3,5,2,10,4,3,34,0,6,56,0,10.7142857142857,60.7142857142857,0.476190476190476,2.85714285714286,5.71428571428571,1.25,2.94117647058824,2.5,4.28571428571429,5.6015037593985,4.85714285714286,10,40.4831564204629,8,"Sammamish River Basin","Bear Creek Subbasin","Seidel Creek","Regulatory Effectiveness","2021-09-21",2021,"Rhithron Associates, Inc.","02P",47.706608,-122.054366
"53","08BEA3312/05",16,2,3,2,8,3,2,44,4,25,89,4.49438202247191,28.0898876404494,49.438202247191,0,1.42857142857143,2.85714285714286,1.25,1.76470588235294,1.25,2.85714285714286,8.56889414547605,10,8.9547948784949,38.931252049181,8,"Sammamish River Basin","Bear Creek Subbasin","Monticello Creek","Ambient Monitoring","2005-08-15",2005,"ABR, Inc.","08BEA3312",47.703496,-122.09254
"54","08BEA3312/06",31,5,5,7,18,8,1,180,5,106,450,1.11111111111111,23.5555555555556,40,7.14285714285714,5.71428571428571,5.71428571428571,7.5,7.64705882352941,7.5,1.42857142857143,10,10,9.74160206718346,72.3886608907129,8,"Sammamish River Basin","Bear Creek Subbasin","Monticello Creek","Ambient Monitoring","2006-09-13",2006,"ABR, Inc.","08BEA3312",47.703496,-122.09254
"55","08BEA3312/08",24,5,3,4,13,6,1,268,13,107,450,2.88888888888889,23.7777777777778,59.5555555555556,3.80952380952381,5.71428571428571,2.85714285714286,3.75,4.70588235294118,5,1.42857142857143,5.90643274853801,10,9.328165374677,52.50000428568,8,"Sammamish River Basin","Bear Creek Subbasin","Monticello Creek","Ambient Monitoring","2008-08-14",2008,"ABR, Inc.","08BEA3312",47.703496,-122.09254
"56","08BEA3312/09",37,5,6,7,20,10,3,184,9,86,450,2,19.1111111111111,40.8888888888889,10,5.71428571428571,7.14285714285714,7.5,8.82352941176471,10,4.28571428571429,10,9.05555555555556,9.53488372093023,82.0568258311076,8,"Sammamish River Basin","Bear Creek Subbasin","Monticello Creek","Ambient Monitoring","2009-08-06",2009,"ABR, Inc.","08BEA3312",47.703496,-122.09254
"57","08BEA3312/09-R",31,4,5,5,15,6,1,231,15,74,450,3.33333333333333,16.4444444444444,51.3333333333333,7.14285714285714,4.28571428571429,5.71428571428571,5,5.88235294117647,5,1.42857142857143,8.07017543859649,7.72222222222222,9.22480620155039,59.4709853749741,8,"Sammamish River Basin","Bear Creek Subbasin","Monticello Creek","Ambient Monitoring","2009-08-06",2009,"ABR, Inc.","08BEA3312",47.703496,-122.09254
"58","08BEA3312/10",22,3,4,5,12,5,0,298,6,50,450,1.33333333333333,11.1111111111111,66.2222222222222,2.85714285714286,2.85714285714286,4.28571428571429,5,4.11764705882353,3.75,0,4.15204678362573,5.05555555555556,9.68992248062015,41.765171878625,8,"Sammamish River Basin","Bear Creek Subbasin","Monticello Creek","Ambient Monitoring","2010-08-25",2010,"Rhithron Associates, Inc.","08BEA3312",47.703496,-122.09254
"59","08BEA3312_11",28,4,6,5,16,8,1,240,29,53,450,6.44444444444444,11.7777777777778,53.3333333333333,5.71428571428571,4.28571428571429,7.14285714285714,5,6.47058823529412,7.5,1.42857142857143,7.54385964912281,5.38888888888889,8.50129198966408,58.9760573343985,8,"Sammamish River Basin","Bear Creek Subbasin","Monticello Creek","Ambient Monitoring","2011-08-15",2011,"Rhithron Associates, Inc.","08BEA3312",47.703496,-122.09254
"60","08BEA3312_12",24,3,5,3,12,6,0,288,15,53,450,3.33333333333333,11.7777777777778,64,3.80952380952381,2.85714285714286,5.71428571428571,2.5,4.11764705882353,5,0,4.73684210526316,5.38888888888889,9.22480620155039,43.3491366354783,8,"Sammamish River Basin","Bear Creek Subbasin","Monticello Creek","Ambient Monitoring","2012-08-14",2012,"Rhithron Associates, Inc.","08BEA3312",47.703496,-122.09254
"61","08BEA3312_13",23,2,3,5,12,6,0,249,1,142,450,0.222222222222222,31.5555555555556,55.3333333333333,3.33333333333333,1.42857142857143,2.85714285714286,5,4.11764705882353,5,0,7.01754385964912,10,9.94832041343669,48.702558950957,8,"Sammamish River Basin","Bear Creek Subbasin","Monticello Creek","Ambient Monitoring","2013-08-21",2013,"Rhithron Associates, Inc.","08BEA3312",47.703496,-122.09254
"62","08BEA3312_14",29,2,5,4,17,7,0,217,4,209,450,0.888888888888889,46.4444444444444,48.2222222222222,6.19047619047619,1.42857142857143,5.71428571428571,3.75,7.05882352941176,6.25,0,8.88888888888889,10,9.79328165374677,59.0743274053808,8,"Sammamish River Basin","Bear Creek Subbasin","Monticello Creek","Ambient Monitoring","2014-08-06",2014,"Rhithron Associates, Inc.","08BEA3312",47.703496,-122.09254
"63","08BEA3312_15",31,6,5,4,18,7,2,231,16,36,450,3.55555555555556,8,51.3333333333333,7.14285714285714,7.14285714285714,5.71428571428571,3.75,7.64705882352941,6.25,2.85714285714286,8.07017543859649,3.5,9.17312661498708,61.2475037342558,8,"Sammamish River Basin","Bear Creek Subbasin","Monticello Creek","Ambient Monitoring","2015-09-14",2015,"Rhithron Associates, Inc.","08BEA3312",47.703496,-122.09254
"64","08BEA3312_16",27,4,5,4,13,6,1,193,73,78,450,16.2222222222222,17.3333333333333,42.8888888888889,5.23809523809524,4.28571428571429,5.71428571428571,3.75,4.70588235294118,5,1.42857142857143,10,8.16666666666667,6.22739018087855,54.5166058671531,8,"Sammamish River Basin","Bear Creek Subbasin","Monticello Creek","Ambient Monitoring","2016-08-22",2016,"Rhithron Associates, Inc.","08BEA3312",47.703496,-122.09254
